method,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,correct_directions,directions_changed_vs_original
archived20,2018,0.0009424487150258131,0.03069932759892003,0.6530612244897959,0.21093203889644374,0.003791550833874098,49,0.6845238095238095,0.6938775510204082,0.030959823922230956,0.003791550833874098,1.1102230246251565e-16,0.02408183319279364,32,0.0
archived20,2019,0.0006540511204060155,0.025574423168588094,0.5652173913043478,0.36225003292216706,0.007319686302999143,46,0.59375,0.43478260869565216,0.07104743442346784,0.007319686302999143,0.0,0.020500639277095795,26,0.0
archived20,2020,0.0011746367494049894,0.03427297403793533,0.5652173913043478,-0.033731378675660714,0.0067285832698687886,46,0.5138888888888888,0.7391304347826086,-0.04444621209357513,0.006728583269868789,-2.220446049250313e-16,0.027059115782565524,26,0.0
half_shrink,2018,0.0009538956766270788,0.03088520157983559,0.4489795918367347,0.21093203889644715,0.0018957754169370508,49,0.5119047619047619,0.9387755102040817,0.019189883013200015,0.0018957754169370508,0.0,0.0245126266022454,22,12.0
half_shrink,2019,0.0006641810634450708,0.025771710526177164,0.5869565217391305,0.3622500329221688,0.003659843151499546,46,0.6104166666666666,0.45652173913043476,0.056659818101622794,0.003659843151499546,0.0,0.020567497077227805,27,1.0
half_shrink,2020,0.001135948532088049,0.03370383556938363,0.5217391304347826,-0.03373137867566154,0.003364291634934383,46,0.4583333333333333,0.782608695652174,-0.010045992579074348,0.003364291634934383,0.0,0.026874660252694162,24,2.0
rolling_shrink,2018,0.0009725589694747374,0.03118587772493725,0.42857142857142855,,0.0,49,0.5,1.0,0.0,0.0,,0.024993659246802878,21,15.0
rolling_shrink,2019,0.0006790713387999011,0.026058997271573996,0.6086956521739131,0.3622500329221678,0.0019540341385346797,46,0.5979166666666667,0.5652173913043478,0.03551107443090806,0.0019540341385346797,0.0,0.020778685143603596,28,6.0
rolling_shrink,2020,0.0011665199398648526,0.03415435462521364,0.5652173913043478,-0.033731378675659535,0.006184259796037679,46,0.5138888888888888,0.7391304347826086,-0.03722902688055063,0.006184259796037679,-2.220446049250313e-16,0.02701913128350627,26,0.0
training_mean,2018,0.0009725589694747374,0.03118587772493725,0.42857142857142855,,0.0,49,0.5,1.0,0.0,0.0,,0.024993659246802878,21,
training_mean,2019,0.0007040737542934652,0.026534388146205016,0.6521739130434783,,0.0,46,0.5,1.0,0.0,0.0,,0.02121364286667705,30,
training_mean,2020,0.0011246503034851832,0.03353580628947488,0.6086956521739131,,4.336808689942018e-19,46,0.5,1.0,0.0,0.0,1.0,0.026892562599891368,28,
zero_return,2018,0.0009438784498571932,0.030722604867706012,0.5714285714285714,,0.0,49,0.5,0.0,0.029489748712136277,0.0,,0.024601941342780792,28,
zero_return,2019,0.0007184869271262795,0.026804606453486302,0.34782608695652173,,0.0,46,0.5,0.0,-0.02047111221647202,0.0,,0.02152168914249231,16,
zero_return,2020,0.001138802270390396,0.03374614452630694,0.391304347826087,,0.0,46,0.5,0.0,-0.01258343759065128,0.0,,0.027232618379829286,18,
