arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
baseline,full,2017-12-31,20260910,1,1678,1678,14,1.110821261451412,,,
baseline,full,2017-12-31,20260910,2,1678,1678,14,1.1034933176597623,0.9999746614190194,1.0235740982164785,0.0009749193331361672
baseline,full,2017-12-31,20260910,3,1678,1678,14,1.1030242042405103,,,
baseline,full,2017-12-31,20260910,4,1678,1678,14,1.102231694773923,,,
baseline,full,2017-12-31,20260910,5,1678,1678,14,1.101857716903641,0.9997382828959123,1.0065790751551558,0.0009694684405736472
baseline,full,2017-12-31,20260910,6,1678,1678,14,1.100985715016989,,,
baseline,full,2017-12-31,20260910,7,1678,1678,14,1.100753309047549,,,
baseline,full,2017-12-31,20260910,8,1678,1678,14,1.0978044596843697,,,
baseline,full,2017-12-31,20260910,9,1678,1678,14,1.0892397559584253,,,
baseline,full,2017-12-31,20260910,10,1678,1678,14,1.0804001223628938,0.9552930395992493,1.0642336128153023,0.0009516971757392498
baseline,full,2017-12-31,20260910,11,1678,1678,14,1.0663902505219907,,,
baseline,full,2017-12-31,20260910,12,1678,1678,14,1.042950739309245,,,
baseline,full,2017-12-31,20260910,13,1678,1678,14,1.0179836469412702,,,
baseline,full,2017-12-31,20260910,14,1678,1678,14,0.969317242698533,,,
baseline,full,2017-12-31,20260910,15,1678,1678,14,0.9442085355910982,,,
baseline,full,2017-12-31,20260910,16,1678,1678,14,0.8870398481071209,,,
baseline,full,2017-12-31,20260910,17,1678,1678,14,0.8337571658593679,,,
baseline,full,2017-12-31,20260910,18,1678,1678,14,0.7974577726922814,,,
baseline,full,2017-12-31,20260910,19,1678,1678,14,0.7938645778310455,,,
baseline,full,2017-12-31,20260910,20,1678,1678,14,0.7907344776342253,0.6095179204292889,1.0294999110116152,0.0009931063810371154
baseline,full,2017-12-31,20260911,1,1678,1678,14,1.11000814099704,,,
baseline,full,2017-12-31,20260911,2,1678,1678,14,1.1047226720543954,0.9999038586315296,1.0167867134239734,0.0009758516536195569
baseline,full,2017-12-31,20260911,3,1678,1678,14,1.1023729600554002,,,
baseline,full,2017-12-31,20260911,4,1678,1678,14,1.1010958472082526,,,
baseline,full,2017-12-31,20260911,5,1678,1678,14,1.1001833027253134,0.997367839278993,0.9974359653277391,0.0009655643960019582
baseline,full,2017-12-31,20260911,6,1678,1678,14,1.0969261222289202,,,
baseline,full,2017-12-31,20260911,7,1678,1678,14,1.0874814813838953,,,
baseline,full,2017-12-31,20260911,8,1678,1678,14,1.0683420402784882,,,
baseline,full,2017-12-31,20260911,9,1678,1678,14,1.058134294948646,,,
baseline,full,2017-12-31,20260911,10,1678,1678,14,1.040432928145571,0.9055039810196578,1.0313872108868678,0.0009561287655512489
baseline,full,2017-12-31,20260911,11,1678,1678,14,1.0253090489038552,,,
baseline,full,2017-12-31,20260911,12,1678,1678,14,0.9917804735920285,,,
baseline,full,2017-12-31,20260911,13,1678,1678,14,0.9746958057133035,,,
baseline,full,2017-12-31,20260911,14,1678,1678,14,0.9426563335260703,,,
baseline,full,2017-12-31,20260911,15,1678,1678,14,0.9034778040270982,,,
baseline,full,2017-12-31,20260911,16,1678,1678,14,0.8983363617873164,,,
baseline,full,2017-12-31,20260911,17,1678,1678,14,0.8477159715096629,,,
baseline,full,2017-12-31,20260911,18,1678,1678,14,0.826839202990549,,,
baseline,full,2017-12-31,20260911,19,1678,1678,14,0.823369319234332,,,
baseline,full,2017-12-31,20260911,20,1678,1678,14,0.7976725490783764,0.6337580967858807,0.9157017737946721,0.0010504204055759143
baseline,full,2017-12-31,20260912,1,1678,1678,14,1.1112514606391717,,,
baseline,full,2017-12-31,20260912,2,1678,1678,14,1.1035317212378737,0.9999830472739292,1.0089663754487066,0.0009717593500709951
baseline,full,2017-12-31,20260912,3,1678,1678,14,1.1030285024529276,,,
baseline,full,2017-12-31,20260912,4,1678,1678,14,1.1017384553268215,,,
baseline,full,2017-12-31,20260912,5,1678,1678,14,1.1023183122223978,1.0003287968391172,1.0038277727770435,0.0009633199974666833
baseline,full,2017-12-31,20260912,6,1678,1678,14,1.1008863584077402,,,
baseline,full,2017-12-31,20260912,7,1678,1678,14,1.1001191893692381,,,
baseline,full,2017-12-31,20260912,8,1678,1678,14,1.0990416607214526,,,
baseline,full,2017-12-31,20260912,9,1678,1678,14,1.096196450692678,,,
baseline,full,2017-12-31,20260912,10,1678,1678,14,1.0836693305650968,0.9863609702140981,1.0791056272668123,0.0009433949956735003
baseline,full,2017-12-31,20260912,11,1678,1678,14,1.07804904606402,,,
baseline,full,2017-12-31,20260912,12,1678,1678,14,1.0532176726907314,,,
baseline,full,2017-12-31,20260912,13,1678,1678,14,1.0244200547915108,,,
baseline,full,2017-12-31,20260912,14,1678,1678,14,1.0113885470880228,,,
baseline,full,2017-12-31,20260912,15,1678,1678,14,0.9813648992272469,,,
baseline,full,2017-12-31,20260912,16,1678,1678,14,0.949797581716999,,,
baseline,full,2017-12-31,20260912,17,1678,1678,14,0.9375788958763195,,,
baseline,full,2017-12-31,20260912,18,1678,1678,14,0.9291234011445483,,,
baseline,full,2017-12-31,20260912,19,1678,1678,14,0.9020883097836173,,,
baseline,full,2017-12-31,20260912,20,1678,1678,14,0.854786008845069,0.6946647820796671,1.0467256326072976,0.0012248837487903164
small,full,2017-12-31,20260910,1,1678,1678,14,1.1125030108373413,,,
small,full,2017-12-31,20260910,2,1678,1678,14,1.1043849353710715,0.999994898581249,1.0235273357796015,0.0009734684418997297
small,full,2017-12-31,20260910,3,1678,1678,14,1.1031588031793806,,,
small,full,2017-12-31,20260910,4,1678,1678,14,1.1024709520806004,,,
small,full,2017-12-31,20260910,5,1678,1678,14,1.1021316506155057,0.9998543288056984,1.0079976537656727,0.0009691259217963314
small,full,2017-12-31,20260910,6,1678,1678,14,1.1015662160902966,,,
small,full,2017-12-31,20260910,7,1678,1678,14,1.1011200880407577,,,
small,full,2017-12-31,20260910,8,1678,1678,14,1.1009519728204775,,,
small,full,2017-12-31,20260910,9,1678,1678,14,1.1001318542550942,,,
small,full,2017-12-31,20260910,10,1678,1678,14,1.0994981281521494,0.9966095465727159,1.0033458336317496,0.0009699509572477962
small,full,2017-12-31,20260910,11,1678,1678,14,1.0961056503692599,,,
small,full,2017-12-31,20260910,12,1678,1678,14,1.0867922818987532,,,
small,full,2017-12-31,20260910,13,1678,1678,14,1.0657262372316991,,,
small,full,2017-12-31,20260910,14,1678,1678,14,1.0419414861835938,,,
small,full,2017-12-31,20260910,15,1678,1678,14,1.014837449156769,,,
small,full,2017-12-31,20260910,16,1678,1678,14,0.9939801445734799,,,
small,full,2017-12-31,20260910,17,1678,1678,14,0.9804948603865359,,,
small,full,2017-12-31,20260910,18,1678,1678,14,0.958778719794054,,,
small,full,2017-12-31,20260910,19,1678,1678,14,0.9687396403717341,,,
small,full,2017-12-31,20260910,20,1678,1678,14,0.9390485227036959,0.7755012327496571,0.9730418424640424,0.0009471372154450325
small,full,2017-12-31,20260911,1,1678,1678,14,1.1207024976522335,,,
small,full,2017-12-31,20260911,2,1678,1678,14,1.1043578511341536,1.0001105269033093,1.0130847304597657,0.0009791339204410464
small,full,2017-12-31,20260911,3,1678,1678,14,1.102320820412846,,,
small,full,2017-12-31,20260911,4,1678,1678,14,1.1017902865029063,,,
small,full,2017-12-31,20260911,5,1678,1678,14,1.1012196786639517,0.999812716380632,1.0033652222625404,0.0009635546735353666
small,full,2017-12-31,20260911,6,1678,1678,14,1.1013096225702153,,,
small,full,2017-12-31,20260911,7,1678,1678,14,1.0997158122716273,,,
small,full,2017-12-31,20260911,8,1678,1678,14,1.0979371732267351,,,
small,full,2017-12-31,20260911,9,1678,1678,14,1.0951105174347668,,,
small,full,2017-12-31,20260911,10,1678,1678,14,1.0872899296741236,0.9702804887110059,1.029065030976615,0.0009345571679642307
small,full,2017-12-31,20260911,11,1678,1678,14,1.0722850294022226,,,
small,full,2017-12-31,20260911,12,1678,1678,14,1.0540998359971165,,,
small,full,2017-12-31,20260911,13,1678,1678,14,1.0334034112411972,,,
small,full,2017-12-31,20260911,14,1678,1678,14,1.0012006638871331,,,
small,full,2017-12-31,20260911,15,1678,1678,14,1.0014412863461992,,,
small,full,2017-12-31,20260911,16,1678,1678,14,0.9827557442725344,,,
small,full,2017-12-31,20260911,17,1678,1678,14,0.9539849360310279,,,
small,full,2017-12-31,20260911,18,1678,1678,14,0.9248509785699901,,,
small,full,2017-12-31,20260911,19,1678,1678,14,0.9306453154183685,,,
small,full,2017-12-31,20260911,20,1678,1678,14,0.9225752863753254,0.7536405187113493,1.0216062168398687,0.001001791999562189
small,full,2017-12-31,20260912,1,1678,1678,14,1.1174518364405035,,,
small,full,2017-12-31,20260912,2,1678,1678,14,1.1052763605572469,1.0000004469993147,1.020657421152981,0.0009721415687520071
small,full,2017-12-31,20260912,3,1678,1678,14,1.1044190140247914,,,
small,full,2017-12-31,20260912,4,1678,1678,14,1.1019396035975295,,,
small,full,2017-12-31,20260912,5,1678,1678,14,1.1025891223382893,1.0006094677939887,1.0020455202982452,0.0009612702803446822
small,full,2017-12-31,20260912,6,1678,1678,14,1.101030873101431,,,
small,full,2017-12-31,20260912,7,1678,1678,14,1.1010008886261122,,,
small,full,2017-12-31,20260912,8,1678,1678,14,1.100636262078109,,,
small,full,2017-12-31,20260912,9,1678,1678,14,1.1018253062564227,,,
small,full,2017-12-31,20260912,10,1678,1678,14,1.1010576916394557,0.9996399095146534,1.000687518762036,0.0009758695216243779
small,full,2017-12-31,20260912,11,1678,1678,14,1.1003566816964223,,,
small,full,2017-12-31,20260912,12,1678,1678,14,1.0997131376641585,,,
small,full,2017-12-31,20260912,13,1678,1678,14,1.0990474150916816,,,
small,full,2017-12-31,20260912,14,1678,1678,14,1.095372680614617,,,
small,full,2017-12-31,20260912,15,1678,1678,14,1.0882278105357264,,,
small,full,2017-12-31,20260912,16,1678,1678,14,1.0636120891116374,,,
small,full,2017-12-31,20260912,17,1678,1678,14,1.045024491464708,,,
small,full,2017-12-31,20260912,18,1678,1678,14,1.0217383703543261,,,
small,full,2017-12-31,20260912,19,1678,1678,14,1.028165390224366,,,
small,full,2017-12-31,20260912,20,1678,1678,14,1.0072439286649155,0.896379884008287,1.033167876560725,0.0010597492124300202
dropout,full,2017-12-31,20260910,1,1678,1678,14,1.1136131595655903,,,
dropout,full,2017-12-31,20260910,2,1678,1678,14,1.1049992135937934,0.9999257543516102,1.023732033048682,0.0009736799951554732
dropout,full,2017-12-31,20260910,3,1678,1678,14,1.1045159703216052,,,
dropout,full,2017-12-31,20260910,4,1678,1678,14,1.102574905706958,,,
dropout,full,2017-12-31,20260910,5,1678,1678,14,1.1022047958158054,0.9996015752740071,1.0068337022192573,0.0009694418658431728
dropout,full,2017-12-31,20260910,6,1678,1678,14,1.1016306077908276,,,
dropout,full,2017-12-31,20260910,7,1678,1678,14,1.1012334690048526,,,
dropout,full,2017-12-31,20260910,8,1678,1678,14,1.099404482506171,,,
dropout,full,2017-12-31,20260910,9,1678,1678,14,1.0942978355256536,,,
dropout,full,2017-12-31,20260910,10,1678,1678,14,1.0940021042033798,0.9817349305454113,1.0090494073474507,0.000959176671400599
dropout,full,2017-12-31,20260910,11,1678,1678,14,1.086519567986353,,,
dropout,full,2017-12-31,20260910,12,1678,1678,14,1.0736979467792078,,,
dropout,full,2017-12-31,20260910,13,1678,1678,14,1.0658787753215422,,,
dropout,full,2017-12-31,20260910,14,1678,1678,14,1.0337450703221935,,,
dropout,full,2017-12-31,20260910,15,1678,1678,14,1.0375051418845502,,,
dropout,full,2017-12-31,20260910,16,1678,1678,14,1.0142852322279483,,,
dropout,full,2017-12-31,20260910,17,1678,1678,14,0.986347981516596,,,
dropout,full,2017-12-31,20260910,18,1678,1678,14,0.9363855880832785,,,
dropout,full,2017-12-31,20260910,19,1678,1678,14,0.9537680712445273,,,
dropout,full,2017-12-31,20260910,20,1678,1678,14,0.9425514960601589,0.7112272028701382,1.03167363855637,0.001093925804062028
dropout,full,2017-12-31,20260911,1,1678,1678,14,1.1137043750612898,,,
dropout,full,2017-12-31,20260911,2,1678,1678,14,1.106957520432637,0.9998670056266921,1.0140259976324506,0.0009730571123497188
dropout,full,2017-12-31,20260911,3,1678,1678,14,1.1041045050370963,,,
dropout,full,2017-12-31,20260911,4,1678,1678,14,1.1028929195756423,,,
dropout,full,2017-12-31,20260911,5,1678,1678,14,1.1020656996034752,0.9993971073300677,1.002063653466244,0.0009671653227166866
dropout,full,2017-12-31,20260911,6,1678,1678,14,1.1016659618702775,,,
dropout,full,2017-12-31,20260911,7,1678,1678,14,1.0993305937041826,,,
dropout,full,2017-12-31,20260911,8,1678,1678,14,1.0980054795102652,,,
dropout,full,2017-12-31,20260911,9,1678,1678,14,1.091689330744374,,,
dropout,full,2017-12-31,20260911,10,1678,1678,14,1.0818308677093633,0.9886081400588244,1.0510196861976377,0.0009132439782239985
dropout,full,2017-12-31,20260911,11,1678,1678,14,1.0917777809113514,,,
dropout,full,2017-12-31,20260911,12,1678,1678,14,1.0703040972369788,,,
dropout,full,2017-12-31,20260911,13,1678,1678,14,1.0700441080282073,,,
dropout,full,2017-12-31,20260911,14,1678,1678,14,1.0562032926494658,,,
dropout,full,2017-12-31,20260911,15,1678,1678,14,1.0405042293671345,,,
dropout,full,2017-12-31,20260911,16,1678,1678,14,1.0345574280644487,,,
dropout,full,2017-12-31,20260911,17,1678,1678,14,1.0161409517295028,,,
dropout,full,2017-12-31,20260911,18,1678,1678,14,1.0177430480683092,,,
dropout,full,2017-12-31,20260911,19,1678,1678,14,0.9976598030051685,,,
dropout,full,2017-12-31,20260911,20,1678,1678,14,0.9695398606475403,0.8082689311137785,1.023165807394362,0.0008834135586875634
dropout,full,2017-12-31,20260912,1,1678,1678,14,1.1143102114476238,,,
dropout,full,2017-12-31,20260912,2,1678,1678,14,1.1050373428058282,1.0000458107517503,1.013617139891305,0.000968183945908091
dropout,full,2017-12-31,20260912,3,1678,1678,14,1.1048678155451197,,,
dropout,full,2017-12-31,20260912,4,1678,1678,14,1.1035288548867381,,,
dropout,full,2017-12-31,20260912,5,1678,1678,14,1.1032621946465557,1.0001598038178945,1.0038298304515743,0.0009645555613404078
dropout,full,2017-12-31,20260912,6,1678,1678,14,1.1014590641312718,,,
dropout,full,2017-12-31,20260912,7,1678,1678,14,1.1017942504604326,,,
dropout,full,2017-12-31,20260912,8,1678,1678,14,1.1015462480369995,,,
dropout,full,2017-12-31,20260912,9,1678,1678,14,1.1021400087638464,,,
dropout,full,2017-12-31,20260912,10,1678,1678,14,1.1010893944193552,0.9988382554594183,0.9992766226858292,0.0009741637848934241
dropout,full,2017-12-31,20260912,11,1678,1678,14,1.0996007730338513,,,
dropout,full,2017-12-31,20260912,12,1678,1678,14,1.097821466260644,,,
dropout,full,2017-12-31,20260912,13,1678,1678,14,1.097074192741062,,,
dropout,full,2017-12-31,20260912,14,1678,1678,14,1.091319716800808,,,
dropout,full,2017-12-31,20260912,15,1678,1678,14,1.0881710649247107,,,
dropout,full,2017-12-31,20260912,16,1678,1678,14,1.067509416459712,,,
dropout,full,2017-12-31,20260912,17,1678,1678,14,1.0369079920404431,,,
dropout,full,2017-12-31,20260912,18,1678,1678,14,1.035086429516948,,,
dropout,full,2017-12-31,20260912,19,1678,1678,14,1.028955240002406,,,
dropout,full,2017-12-31,20260912,20,1678,1678,14,1.011962351838795,0.8780437071360336,1.0134600763241355,0.001018274294415357
decay,full,2017-12-31,20260910,1,1678,1678,14,1.110805662191241,,,
decay,full,2017-12-31,20260910,2,1678,1678,14,1.10347039864373,0.9999757276246317,1.0233924579279357,0.0009749295771730725
decay,full,2017-12-31,20260910,3,1678,1678,14,1.1029871664186484,,,
decay,full,2017-12-31,20260910,4,1678,1678,14,1.102197514103195,,,
decay,full,2017-12-31,20260910,5,1678,1678,14,1.101824614089493,0.9997572915914943,1.0066365058998954,0.0009694864092730974
decay,full,2017-12-31,20260910,6,1678,1678,14,1.1009841549950645,,,
decay,full,2017-12-31,20260910,7,1678,1678,14,1.100843109874248,,,
decay,full,2017-12-31,20260910,8,1678,1678,14,1.0983360481489544,,,
decay,full,2017-12-31,20260910,9,1678,1678,14,1.090370990380343,,,
decay,full,2017-12-31,20260910,10,1678,1678,14,1.08155746638988,0.9602184427793319,1.0814953927345867,0.0009388007312190544
decay,full,2017-12-31,20260910,11,1678,1678,14,1.071903087846997,,,
decay,full,2017-12-31,20260910,12,1678,1678,14,1.0514962178731562,,,
decay,full,2017-12-31,20260910,13,1678,1678,14,1.037327993967536,,,
decay,full,2017-12-31,20260910,14,1678,1678,14,0.9878437541807081,,,
decay,full,2017-12-31,20260910,15,1678,1678,14,0.9577430232346982,,,
decay,full,2017-12-31,20260910,16,1678,1678,14,0.914754230586792,,,
decay,full,2017-12-31,20260910,17,1678,1678,14,0.8486075311082196,,,
decay,full,2017-12-31,20260910,18,1678,1678,14,0.7855366464167016,,,
decay,full,2017-12-31,20260910,19,1678,1678,14,0.7866140387339586,,,
decay,full,2017-12-31,20260910,20,1678,1678,14,0.7515546430137643,0.5656724982096839,1.0317935932236717,0.0010228508251877981
decay,full,2017-12-31,20260911,1,1678,1678,14,1.1099931385292625,,,
decay,full,2017-12-31,20260911,2,1678,1678,14,1.1046941199376556,0.9999075093627402,1.0165854301725439,0.0009758799239567872
decay,full,2017-12-31,20260911,3,1678,1678,14,1.1023574886361804,,,
decay,full,2017-12-31,20260911,4,1678,1678,14,1.1010929606100088,,,
decay,full,2017-12-31,20260911,5,1678,1678,14,1.1002139000131064,0.9975875674328446,0.9974357664087816,0.0009657812181476046
decay,full,2017-12-31,20260911,6,1678,1678,14,1.0971594315745976,,,
decay,full,2017-12-31,20260911,7,1678,1678,14,1.088124556180547,,,
decay,full,2017-12-31,20260911,8,1678,1678,14,1.0694957016051454,,,
decay,full,2017-12-31,20260911,9,1678,1678,14,1.0599777042794711,,,
decay,full,2017-12-31,20260911,10,1678,1678,14,1.0497078243398836,0.9214980883592644,1.0130294190544338,0.0009473919498747537
decay,full,2017-12-31,20260911,11,1678,1678,14,1.0294504711255699,,,
decay,full,2017-12-31,20260911,12,1678,1678,14,1.0068489629264668,,,
decay,full,2017-12-31,20260911,13,1678,1678,14,0.9759043459386451,,,
decay,full,2017-12-31,20260911,14,1678,1678,14,0.9609758329618815,,,
decay,full,2017-12-31,20260911,15,1678,1678,14,0.9361058889895997,,,
decay,full,2017-12-31,20260911,16,1678,1678,14,0.9165186083501513,,,
