arm,epoch,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share
baseline,2,2018,0.0009741645613964049,0.03121160940093293,0.42857142857142855,0.025539590914278525,5.304946235712422e-06,49,0.5,1.0,-0.0016508941586694803,5.3049462357124215e-06,1.1102230246251565e-16
baseline,2,2019,0.0007008772973336937,0.026474087280465283,0.6521739130434783,-0.2838015914308737,1.5460093108103825e-05,46,0.5,1.0,0.004539946192113176,1.5460093108103825e-05,0.0
baseline,2,2020,0.0011255982569766164,0.033549936765612784,0.6086956521739131,-0.18063550011497415,6.782269595728635e-06,46,0.5,1.0,-0.0008428873299510808,6.782269595728635e-06,0.0
baseline,5,2018,0.000966065980235541,0.031081601957356396,0.42857142857142855,0.20102393259156257,0.00010043753265767529,49,0.5,1.0,0.006676190794583037,0.00010043753265767529,0.0
baseline,5,2019,0.0007025257408858649,0.02650520214761368,0.6521739130434783,-0.028430577328621386,0.0003619802590503514,46,0.5,1.0,0.0021986523402703906,0.00036198025905035135,1.1102230246251565e-16
baseline,5,2020,0.001120404169661793,0.03347243895597978,0.6086956521739131,0.02045194305414878,0.00023892251438949218,46,0.5,1.0,0.0037755147624393137,0.00023892251438949218,0.0
baseline,10,2018,0.0009360162952330408,0.030594383393574724,0.6326530612244898,0.13325812274563734,0.003374345110834786,49,0.6369047619047619,0.5102040816326531,0.03757373628607075,0.003374345110834786,0.0
baseline,10,2019,0.0006876453551418645,0.02622299287155958,0.6304347826086957,0.19545857862447918,0.003862289580491193,46,0.6145833333333333,0.5869565217391305,0.023333349739881437,0.003862289580491193,0.0
baseline,10,2020,0.0011589544294656287,0.034043419767491465,0.5,-0.02117242323701287,0.005106727555353599,46,0.46031746031746035,0.6739130434782609,-0.030502037721539033,0.005106727555353599,-2.220446049250313e-16
baseline,20,2018,0.0009993857959624877,0.0316130636914945,0.6122448979591837,0.23532419454188003,0.010666486539963282,49,0.6428571428571428,0.6938775510204082,-0.02758375309852834,0.010666486539963282,0.0
baseline,20,2019,0.0009331493535253124,0.030547493408221115,0.43478260869565216,0.0033675666447656,0.010540457993734487,46,0.49375,0.30434782608695654,-0.3253573902377933,0.010540457993734487,0.0
