cutoff,end,history,train_n,full_train_n,test_n,last_train_label,removed_n,removed_start,removed_end,presentations_per_epoch,optimizer_steps_per_epoch
2017-12-31,2018-12-31,full,1678,1678,49,2017-12-29,0,,,1678,14
2017-12-31,2018-12-31,drop_early,1342,1678,49,2017-12-29,336,2010-07-09,2011-12-01,1678,14
2017-12-31,2018-12-31,drop_middle,1342,1678,49,2017-12-29,336,2013-04-25,2014-09-10,1678,14
2017-12-31,2018-12-31,drop_recent,1343,1678,49,2016-08-16,335,2016-08-09,2017-12-21,1678,14
2018-12-31,2019-12-31,full,1921,1921,46,2018-12-28,0,,,1921,16
2018-12-31,2019-12-31,drop_early,1536,1921,46,2018-12-28,385,2010-07-09,2012-02-17,1921,16
2018-12-31,2019-12-31,drop_middle,1537,1921,46,2018-12-28,384,2013-09-17,2015-11-02,1921,16
2018-12-31,2019-12-31,drop_recent,1537,1921,46,2017-06-08,384,2017-06-01,2018-12-20,1921,16
2019-12-31,2020-12-31,full,2165,2165,46,2019-12-31,0,,,2165,17
2019-12-31,2020-12-31,drop_early,1732,2165,46,2019-12-31,433,2010-07-09,2012-05-02,2165,17
2019-12-31,2020-12-31,drop_middle,1732,2165,46,2019-12-31,433,2014-02-18,2016-06-03,2165,17
2019-12-31,2020-12-31,drop_recent,1732,2165,46,2018-03-23,433,2018-03-16,2019-12-23,2165,17
