arm,epoch,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share
baseline,2,0.0009344109149411214,0.030568135614412625,0.5602836879432624,-0.18800643559053798,0.0003342580154292612,141,0.5,1.0,0.00018787202975067974,1.013721765215286e-05,0.9990802413484509
baseline,5,0.0009304397795513033,0.030503110981526183,0.5602836879432624,0.008793026922600715,0.0005047712877925336,141,0.5,1.0,0.00443695480593187,0.00025470781881691213,0.7453783861602554
baseline,10,0.0009277190677898134,0.030458481048630994,0.5886524822695035,0.08300168205324457,0.004189616836641299,141,0.5791139240506329,0.5886524822695035,0.007348094404531547,0.004163108502852687,0.012614266992936218
baseline,20,0.0010435923800920979,0.032304680467265076,0.5390070921985816,0.014490023629721363,0.011083563081019397,141,0.5296039199673336,0.5815602836879432,-0.11663541338144956,0.009927445247636424,0.1977380288180286
small,2,0.0009348409159256999,0.0305751682894093,0.5602836879432624,-0.18357395421974287,0.00037823873899093326,141,0.5,1.0,-0.0002722255488909475,1.4628595911598695e-05,0.9985042008812939
small,5,0.0009316665519017027,0.030523213328575067,0.5602836879432624,-0.13091855736639577,0.0001382566906967201,141,0.5,1.0,0.003124318304607243,5.5678584265383766e-05,0.837817476686688
small,10,0.0009326806512894181,0.03053982074749978,0.5531914893617021,-0.0010040688512405601,0.0014594889697066272,141,0.5006124948958759,0.9361702127659575,0.0020392401547346672,0.001387083276483469,0.09675942801793525
small,20,0.0009580799754244601,0.03095286699846171,0.574468085106383,0.07861368306486856,0.008173512888681327,141,0.56472029399755,0.5886524822695035,-0.02513783141667636,0.00772656826746119,0.10637401522114909
dropout,2,0.000933888646856524,0.030559591732490864,0.5602836879432624,-0.18360671674789203,0.0002948042318402013,141,0.5,1.0,0.0007466946597979307,9.783889546790033e-06,0.9988985731595313
dropout,5,0.0009320394986614848,0.030529321948931078,0.5602836879432624,-0.07429764986188632,0.00032107413867360095,141,0.5,1.0,0.0027252682854399524,5.2811060793550735e-05,0.9729455238132276
dropout,10,0.0009321895272452947,0.03053177897282264,0.5319148936170213,0.03321065923010033,0.0026013122072969983,141,0.5041853817884852,0.7304964539007093,0.002564738913151121,0.0024488030764348665,0.11381832246746881
dropout,20,0.0009624355879650032,0.031023146003669632,0.5602836879432624,0.07019733246806598,0.00817078681588374,141,0.5520620661494487,0.574468085106383,-0.029798301637156133,0.00745396641864871,0.16776283746244125
decay,2,0.0009344279965978308,0.03056841501612131,0.5602836879432624,-0.18786613080212142,0.0003358772043653598,141,0.5,1.0,0.00016959479510925135,9.93636046372782e-06,0.9991248275923981
decay,5,0.0009304982178971655,0.03050406887444961,0.5602836879432624,0.006577305614129953,0.0004874814459629875,141,0.5,1.0,0.004374426248102248,0.0002349139083830055,0.7677791129377123
decay,10,0.0009285481606484248,0.03047208822264114,0.5886524822695035,0.08111519892137255,0.00439639688535893,141,0.5756431196406696,0.6170212765957447,0.006460971745754218,0.004251434340595181,0.06485884737430914
decay,20,0.0010129278548111278,0.031826527533036456,0.5602836879432624,0.060367189173837016,0.010997622825565413,141,0.5572682727643936,0.5319148936170213,-0.08382461913222339,0.010195642229985697,0.14052839560839492
combined,2,0.0009343902503774647,0.03056779760430026,0.5602836879432624,-0.168952169207775,0.0003685226690187792,141,0.5,1.0,0.0002099829458720448,1.4116082584455454e-05,0.9985327640305852
combined,5,0.0009318665060618633,0.030526488596985132,0.5602836879432624,-0.12207369351628496,0.0001750734550469674,141,0.5,1.0,0.0029103689690739287,3.4274761894090404e-05,0.9616726945571071
combined,10,0.0009415094112185614,0.030684025342489884,0.5460992907801419,-0.18612180038208287,0.0009018910772352415,141,0.4873417721518987,0.9858156028368794,-0.007407461623841538,0.0007725495969305402,0.26625600505630065
combined,20,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.1237952411233704,0.006587837813449706,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.006102895770451835,0.14180474637322815
