history,date,actual,cutoff,train_n,full_train_n,training_mean,zero_return
full,2018-01-05,0.0214907567286908,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-01-12,0.0110264218031885,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-01-19,0.0258577147560612,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-01-26,-0.0416224077172412,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-02-02,-0.0851928666225865,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-02-09,0.0642518595938403,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-02-23,-0.0175257731958763,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-03-02,0.0271156686542373,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-03-09,-0.0184205620825476,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-03-16,-0.0473361252102539,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-03-23,0.0088849998317235,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-03-30,-0.0088632053805354,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-04-13,-0.0279044238531301,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-04-20,0.0040589236395014,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-04-27,0.003344889692912,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-05-04,0.0275819951672684,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-05-11,0.0099488791752746,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-05-18,-0.0278382082465087,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-05-25,-0.0081414788300587,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-06-01,-0.0039575292125362,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-06-08,-0.0179141214945586,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-06-15,-0.0207606943097817,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-06-22,-0.0334657179105301,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-06-29,-0.0358257762964908,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-07-06,0.0325726343702554,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-07-13,-0.0049040261165902,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-07-20,0.014110592016959,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-07-27,-0.0590851640938977,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-08-03,0.0172541822374894,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-08-10,-0.0390981548851923,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-08-17,0.0312424727164923,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-08-24,-0.005599825117761,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-08-31,-0.0148493234839747,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-09-07,-0.0141989007697058,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-09-14,0.0468351251034906,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-09-21,-0.00426840285903,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-09-28,-0.055840145646664,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-10-12,-0.0045024181987176,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-10-19,-0.0006551545151857,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-10-26,0.0354648787486262,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-11-02,-0.0334060260531522,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-11-09,0.0311810774464045,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-11-16,-0.0337916834162372,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-11-23,0.0355769261307155,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-11-30,-0.0328672765580291,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-12-07,0.0015094243892539,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-12-14,-0.0452081512722115,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-12-21,0.0005206433427293,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2018-12-28,0.0126215169021599,2017-12-31,1678,1678,0.002114028432822609,0.0
full,2019-01-04,0.0122252589889202,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-01-11,0.0253451899757477,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-01-18,0.0101675244727015,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-01-25,0.011454456904518,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-02-01,0.0390794521900976,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-02-15,0.0622114887625429,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-02-22,0.057941468462044,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-03-01,-0.0314720436474369,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-03-08,0.0244706575909257,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-03-15,0.0060741040696496,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-03-22,0.0330284606666595,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-03-29,0.0398136969165658,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-04-12,0.0171281082906651,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-04-19,-0.0555966233394814,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-04-26,-0.0566702082338871,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-05-10,-0.010887544344571,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-05-17,-0.011865534939242,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-05-24,0.013363580693648,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-05-31,0.0037988139350273,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-06-14,0.0497668589441884,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-06-21,0.0164272438880068,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-06-28,-0.0060471927228523,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-07-05,-0.0214435915629233,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-07-12,0.005500126560918,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-07-19,0.011653336829684,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-07-26,-0.0346117357968243,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-08-02,-0.0205509060495487,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-08-09,0.024167527899843,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-08-16,0.0054416051262971,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-08-23,0.0125999637947373,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-08-30,0.0466047443403643,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-09-06,-0.0140091837144809,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-09-20,-0.021176044981262,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-09-27,0.0267538071924768,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-10-11,-0.0201578763251421,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-10-18,0.0102552427470803,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-10-25,0.0151165947072713,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-11-01,-0.0038824321835717,2018-12-31,1921,1921,0.001146387266522635,0.0
full,2019-11-08,-0.0187863101539271,2018-12-31,1921,1921,0.001146387266522635,0.0
