arm,epoch,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share
baseline,2,20260910,0.0009338147277596974,0.03055838228309374,0.5602836879432624,-0.19223729089240835,0.00027977616486636066,141,0.5,1.0,0.0008257874960588829,1.321515890018342e-05,0.9977688778195071
baseline,5,20260910,0.0009314070395748658,0.030518961967518913,0.5602836879432624,-0.04817034201024324,0.00029367099896229217,141,0.5,1.0,0.0034019943971917987,4.3322372762210614e-05,0.9782378224788548
baseline,10,20260910,0.0009795758957217434,0.0312981771948742,0.5886524822695035,-0.023004685178982583,0.006292316390653667,141,0.5808493262556145,0.574468085106383,-0.048138292425268014,0.006287349038623089,0.0015782395641009694
baseline,20,20260910,0.0010699681863175349,0.03271036817765179,0.5531914893617021,0.12099915622829178,0.01591210927191419,141,0.5526745610453245,0.5106382978723404,-0.14485731289858728,0.014617747355628749,0.15607199652959847
baseline,2,20260911,0.000935599871047651,0.03058757707056332,0.5602836879432624,-0.1708338021898586,0.000471638559885852,141,0.5,1.0,-0.00108430139622806,1.781250845207182e-05,0.9985736320966255
baseline,5,20260911,0.0009278761947160915,0.030461060301901696,0.5602836879432624,0.060215180820812786,0.0010541131916787423,141,0.5,1.0,0.0071799698631638265,0.0007260031248352343,0.5256460915787815
baseline,10,20260911,0.0009170027377851329,0.03028205306423481,0.5957446808510638,0.13774723125667448,0.006161156175580151,141,0.583707635769702,0.6099290780141844,0.018814480910393616,0.006105008474717322,0.01814330211045201
baseline,20,20260911,0.0011567394827120237,0.03401087300720203,0.5460992907801419,-0.0051993563826141795,0.014862101138794161,141,0.5411392405063291,0.5460992907801419,-0.23770189883793047,0.013891682975259811,0.12632621954482304
baseline,2,20260912,0.0009339298526972304,0.030560265913392025,0.5602836879432624,-0.15983606543217863,0.0003389269722322301,141,0.5,1.0,0.0007026047432283633,5.4280936721422555e-06,0.9997435029329677
baseline,5,20260912,0.0009330751478760958,0.030546278789340214,0.5602836879432624,-0.10614087309168202,0.00033928476716960006,141,0.5,1.0,0.0016171319949341845,2.4838737893554475e-05,0.9946404253272475
baseline,10,20260912,0.0009324943098848334,0.030536769801091164,0.574468085106383,0.0746886462262445,0.004542943325804307,141,0.5733973050224581,0.5177304964539007,0.0022386239518069617,0.004410433922714897,0.057485583443990795
baseline,20,20260912,0.0011664263037806488,0.034152983819582275,0.425531914893617,-0.11189050719467397,0.01221082285457321,141,0.40751327072274396,0.6382978723404256,-0.24806671910172118,0.011549618068319887,0.10536603134659672
small,2,20260910,0.0009346269125220499,0.03057166846153559,0.5602836879432624,-0.17318040559510517,0.00037929127007335157,141,0.5,1.0,-4.3243636356660176e-05,1.1545037587587797e-05,0.9990735008855011
small,5,20260910,0.0009317847597107846,0.03052514962634556,0.5602836879432624,-0.07388207856169259,0.00027744326144455773,141,0.5,1.0,0.002997836904132245,2.6750240713015855e-05,0.9907037664380952
small,10,20260910,0.0009351246668716213,0.030579808156226573,0.5531914893617021,-0.06460455906771209,0.0009531809175069418,141,0.5006124948958759,0.9361702127659575,-0.0005758367680226417,0.0009402234484216598,0.027003053508539376
small,20,20260910,0.0009959574625762815,0.031558793743999176,0.5390070921985816,0.04297253799018362,0.009220780099775177,141,0.5486933442221315,0.425531914893617,-0.06566643657944304,0.008844264700850786,0.07999934956050081
small,2,20260911,0.000934396902016101,0.030567906405511335,0.5602836879432624,-0.1831947924514364,0.00033626471061609176,141,0.5,1.0,0.00020286574628347598,3.849969020575146e-05,0.9868915336162185
small,5,20260911,0.0009315934307391264,0.030522015509122695,0.5602836879432624,-0.11470772937462115,0.00015049908257159226,141,0.5,1.0,0.0032025573576683897,0.00014115181385491063,0.1203594899413507
small,10,20260911,0.0009339773737547109,0.030561043400949367,0.6312056737588653,0.04681295867963087,0.0037775407429275977,141,0.6136178031849735,0.6595744680851063,0.0006517575957440958,0.0035866855396956194,0.09849468938176709
small,20,20260911,0.0010248715145177141,0.03201361451816577,0.5815602836879432,0.033332933117986574,0.010713815908494214,141,0.5710494079216006,0.5957446808510638,-0.09660423850101818,0.010473048834863207,0.044440141053658344
small,2,20260912,0.0009357238594470914,0.030589603780485478,0.5602836879432624,-0.18563259905156632,0.0004364351057995813,141,0.5,1.0,-0.001216967981673367,7.118182715573487e-06,0.9997339894204113
small,5,20260912,0.0009318301369526334,0.030525892893617925,0.5602836879432624,-0.144226041192498,0.0001146783650638684,141,0.5,1.0,0.0029492836220494922,1.2844149664935448e-05,0.9874556625127722
small,10,20260912,0.0009382017151626504,0.030630078601966572,0.5602836879432624,-0.17922074848795075,0.0006676364710622648,141,0.5,1.0,-0.0038682535736578316,0.0004123717546701795,0.6184972124541581
small,20,20260912,0.0010178017588058374,0.03190300548233407,0.5177304964539007,0.09368867849198738,0.012533922368428872,141,0.5019395671702735,0.6312056737588653,-0.0890396570203249,0.012133978873704664,0.0627995941812598
dropout,2,20260910,0.0009332171183425054,0.030548602559568996,0.5602836879432624,-0.1496193597994868,0.00029314653518412747,141,0.5,1.0,0.0014652247431456988,1.826434080544876e-05,0.9961181524660754
dropout,5,20260910,0.0009312546953923914,0.030516465971543814,0.5602836879432624,-0.01901969572279387,0.0004734921280790692,141,0.5,1.0,0.0035650014413391995,6.698675749309987e-05,0.9799851478604701
dropout,10,20260910,0.0009464397339138086,0.030764260659307395,0.49645390070921985,-0.03167012407618595,0.0031202300220723503,141,0.47253981216823193,0.6950354609929078,-0.012682867065595849,0.0028613027254757823,0.1590805556670788
dropout,20,20260910,0.0010671537666746616,0.03266731955142114,0.5106382978723404,0.004405087085127023,0.011808379419531778,141,0.509493670886076,0.5106382978723404,-0.14184590662416507,0.011068761270936912,0.12134690498368383
dropout,2,20260911,0.0009346900474396614,0.030572701016424137,0.5602836879432624,-0.18684931454208495,0.0003573612951044937,141,0.5,1.0,-0.00011079748800479905,1.6516428149530924e-05,0.997863921356064
dropout,5,20260911,0.0009318956994828414,0.030526966758635577,0.5602836879432624,-0.06788170320753914,0.000320484428248368,141,0.5,1.0,0.0028791322445407275,8.335437485499958e-05,0.9323538737455673
dropout,10,20260911,0.0009312561946814809,0.0305164905367816,0.6028368794326241,0.0740670406180052,0.004434111182197945,141,0.6108615761535321,0.44680851063829785,0.003563397214129349,0.004147320857763174,0.12517312815411674
dropout,20,20260911,0.0010193380390819866,0.031927073763218364,0.6382978723404256,0.09740361708502594,0.012721088960560137,141,0.6407717435688036,0.49645390070921985,-0.09068346450105413,0.012196899079717887,0.08071477240790725
dropout,2,20260912,0.0009338864555343618,0.030559555879206782,0.5602836879432624,-0.17491381502434286,0.0002958657171342107,141,0.5,1.0,0.0007490393568032605,6.447840012469748e-06,0.9995250594882767
dropout,5,20260912,0.0009333051294566811,0.03055004303526725,0.5602836879432624,-0.15699608910191618,0.00025990747281576774,141,0.5,1.0,0.0013710535621994646,2.165762928863894e-05,0.9930564063318527
dropout,10,20260912,0.0009332000736547746,0.03054832358174135,0.5531914893617021,0.013876760753979726,0.0021309338134338834,141,0.509289505920784,0.8652482269503546,0.001483462421278725,0.0020429893588672417,0.0808375214317617
dropout,20,20260912,0.0009841482313027675,0.03137113691441175,0.5460992907801419,0.048110634409588765,0.008929528855662124,141,0.5376684360963658,0.574468085106383,-0.05303065454771372,0.008230719063447738,0.15039224759977854
decay,2,20260910,0.0009338522179356055,0.030558995695794806,0.5602836879432624,-0.1920004658543424,0.00028316524922883195,141,0.5,1.0,0.0007856733107969305,1.301142768812586e-05,0.9978886025349757
decay,5,20260910,0.0009314101333313335,0.030519012653284404,0.5602836879432624,-0.04811951544142038,0.00029487820359988076,141,0.5,1.0,0.0033986841027722203,3.986515902799204e-05,0.9817231369570274
decay,10,20260910,0.0009651760075399421,0.031067281946445556,0.6170212765957447,0.021806120015227536,0.006586245803170321,141,0.6026949775418537,0.6312056737588653,-0.0327305284368864,0.006197590230577373,0.11453816500663261
decay,20,20260910,0.0010882564235471445,0.03298873176627353,0.5886524822695035,0.10737328937014999,0.015713051382667875,141,0.5929971416904859,0.475177304964539,-0.1644255789461997,0.01472084899528894,0.12230291858708209
decay,2,20260911,0.0009356046956092936,0.03058765593518558,0.5602836879432624,-0.17087276272834953,0.0004719740606592034,141,0.5,1.0,-0.0010894636381981737,1.7458590195991866e-05,0.998631697626525
decay,5,20260911,0.0009280913949606513,0.030464592479805985,0.5602836879432624,0.057887687321803924,0.0009999906780796747,141,0.5,1.0,0.006949707340527689,0.0006697281180517165,0.5514558853448854
decay,10,20260911,0.0009356086038742413,0.03058771982142901,0.6028368794326241,0.09616338829663937,0.006203549389770322,141,0.596978358513679,0.5602836879432624,-0.0010936454501093706,0.006201170674904915,0.0007667413165602932
decay,20,20260911,0.0011001194095769608,0.033168048021807985,0.5886524822695035,0.05842082089622359,0.014895109819032203,141,0.5808493262556145,0.574468085106383,-0.17711887813277793,0.014336479167009128,0.07360202552191641
decay,2,20260912,0.0009339376104947952,0.03056039283934019,0.5602836879432624,-0.16020288178295586,0.0003388483426481261,141,0.5,1.0,0.0006943039625252334,5.341416107086249e-06,0.9997515139045974
decay,5,20260912,0.0009329521912058666,0.030544266093750994,0.5602836879432624,-0.10383745288823572,0.00032819379832691874,141,0.5,1.0,0.0017486946384610569,2.293449205224793e-05,0.9951166538316585
decay,10,20260912,0.0009293275158856391,0.03048487355862968,0.6028368794326241,0.07676852886454048,0.004294325205081104,141,0.5952429563086974,0.574468085106383,0.005627067939939723,0.004097110048389653,0.08974012639511664
decay,20,20260912,0.0011160924320584688,0.03340796958898384,0.5106382978723404,-0.04603630072850502,0.012287256236815796,141,0.5025520620661494,0.5673758865248227,-0.19420988310927645,0.011818169936782943,0.07489584640372915
combined,2,20260910,0.000935506259688945,0.03058604681368524,0.5602836879432624,-0.15947798939068952,0.0004931467510452142,141,0.5,1.0,-0.0009841379988901888,1.2628086599547983e-05,0.9993442734769896
combined,5,20260910,0.0009324176675691617,0.03053551485678867,0.5602836879432624,-0.06532003956446716,0.0004430039411779826,141,0.5,1.0,0.0023206306102256935,2.4548040961783322e-05,0.9969294335616853
combined,10,20260910,0.0009362326019170676,0.030597918261167173,0.5815602836879432,-0.09385912435860472,0.0008739612507780424,141,0.5328705594120049,0.9078014184397163,-0.0017613183133771138,0.0005981994298752473,0.5315021151774855
combined,20,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685
combined,2,20260911,0.0009330164880966199,0.03054531859543488,0.5602836879432624,-0.1549755200452586,0.00025705690574818216,141,0.5,1.0,0.0016798974849410175,3.7869003127775063e-05,0.9782975285017366
combined,5,20260911,0.0009323069024552459,0.030533701093304198,0.5602836879432624,-0.24457498193970897,0.00011885724056861215,141,0.5,1.0,0.0024391483870176422,7.759440653645321e-05,0.5738038275341482
combined,10,20260911,0.0009552321415701747,0.030906830014904064,0.524822695035461,-0.14888664422996464,0.002195722792916927,141,0.47529603919967334,0.9078014184397163,-0.022090672206064754,0.0021733039576099004,0.020316211721837396
combined,20,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349
combined,2,20260912,0.0009348296338775282,0.0305749837919422,0.5602836879432624,-0.17756849149833737,0.0003846658404412547,141,0.5,1.0,-0.0002601538485180743,1.0770348133445625e-05,0.9992160430038499
combined,5,20260912,0.0009311290823798263,0.030514407783534425,0.5602836879432624,-0.17618524821828296,3.4674000882981744e-05,141,0.5,1.0,0.0036994063496994523,1.8635054621521194e-05,0.7111625991306811
