comparison,mode,pairs,return_mse_left_mean,return_mse_right_mean,return_mse_difference_mean,return_mse_mean_relative_change,return_mse_lower_count,return_huber_left_mean,return_huber_right_mean,return_huber_difference_mean,return_huber_mean_relative_change,return_huber_lower_count,auxiliary_mse_left_mean,auxiliary_mse_right_mean,auxiliary_mse_difference_mean,auxiliary_mse_mean_relative_change,auxiliary_mse_lower_count,common_joint_left_mean,common_joint_right_mean,common_joint_difference_mean,common_joint_mean_relative_change,common_joint_lower_count,linear_fraction_left_mean,linear_fraction_right_mean,linear_fraction_difference_mean,linear_fraction_mean_relative_change,linear_fraction_lower_count
archived_huber_minus_mse,dropout,9,0.9526495805365758,0.9216394681024883,0.031010112434087578,0.03364668453048392,1,0.765230578273187,0.7536072425116449,0.011623335761542064,0.015423598800355931,1,1.0151081557743344,1.0274271742350478,-0.012319018460713458,-0.011990162193135756,9,0.8667413938506203,0.8563499599351496,0.01039143391547068,0.012134564607508835,1,0.2591885740331073,0.2594359176214863,-0.0002473435883790447,-0.0009533899185844019,3
archived_huber_minus_mse,eval,9,0.9358193170306079,0.8919768740212888,0.04384244300931937,0.04915199517636015,1,0.753804041398221,0.7356350554683545,0.018168985929866464,0.024698368837655416,1,1.005964458375208,1.0203847890955062,-0.014420330720297839,-0.014132247828861355,7,0.8544004872357418,0.837673534377905,0.016726952857836676,0.019968343479132233,1,0.25539072858505274,0.253846100797394,0.0015446277876586534,0.006084898616944168,3
joint_restart_minus_archived_mse,dropout,9,0.9303377837611215,0.9216394681024883,0.00869831565863329,0.009437872356466759,3,0.7512992724001288,0.7536072425116449,-0.002307970111516005,-0.0030625636025258807,6,1.0077654301459447,1.0274271742350478,-0.019661744089103025,-0.01913687371929007,9,0.8520758154147233,0.8563499599351496,-0.00427414452042633,-0.004991118958830754,6,0.2560084770164738,0.2594359176214863,-0.0034274406050124762,-0.013211126032337317,4
joint_restart_minus_archived_mse,eval,9,0.9057942486655617,0.8919768740212888,0.013817374644272795,0.015490731931176782,3,0.7350712226725302,0.7356350554683545,-0.00056383279582422,-0.0007664572149369553,5,0.9983190204816661,1.0203847890955062,-0.022065768613839933,-0.02162494859747932,9,0.8349031247206968,0.837673534377905,-0.002770409657208218,-0.003307266546585641,5,0.2507194869198849,0.253846100797394,-0.0031266138775091334,-0.012316966333883572,5
joint_restart_minus_start,dropout,9,0.9303377837611215,0.9526495805365758,-0.02231179677545429,-0.023420780559087917,9,0.7512992724001288,0.765230578273187,-0.013931305873058068,-0.018205370078774652,9,1.0077654301459447,1.0151081557743344,-0.007342725628389569,-0.00723344166493145,8,0.8520758154147233,0.8667413938506203,-0.01466557843589701,-0.016920362336386274,9,0.2560084770164738,0.2591885740331073,-0.0031800970166334314,-0.012269433668118834,8
joint_restart_minus_start,eval,9,0.9057942486655617,0.9358193170306079,-0.03002506836504658,-0.032084257953038375,9,0.7350712226725302,0.753804041398221,-0.018732818725690683,-0.024851045758448764,9,0.9983190204816661,1.005964458375208,-0.007645437893542094,-0.007600107369489573,8,0.8349031247206968,0.8544004872357418,-0.019497362515044896,-0.022819933750418575,9,0.2507194869198849,0.25539072858505274,-0.004671241665167787,-0.01829056869467438,7
return_only_minus_joint,dropout,9,0.9289583779244148,0.9303377837611215,-0.0013794058367068275,-0.001482693555807324,9,0.7505479393206651,0.7512992724001288,-0.0007513330794637958,-0.0010000449981316661,9,1.0276610296388977,1.0077654301459447,0.019895599492952904,0.019742292102708614,0,0.8533140422845549,0.8520758154147233,0.0012382268698314628,0.0014531886100168645,0,0.2562040723033122,0.2560084770164738,0.00019559528683832372,0.0007640187899944362,3
return_only_minus_joint,eval,9,0.9036083713429952,0.9057942486655617,-0.0021858773225661553,-0.0024132161644730976,9,0.7339288757966949,0.7350712226725302,-0.0011423468758353403,-0.0015540628453418748,9,1.0209934054524703,0.9983190204816661,0.022674384970804033,0.022712564326245577,0,0.8360282163419419,0.8349031247206968,0.0011250916212450779,0.0013475714582114051,0,0.25203942536713425,0.2507194869198849,0.0013199384472493197,0.005264602538338492,1
return_only_restart_minus_start,dropout,9,0.9289583779244148,0.9526495805365758,-0.023691202612161115,-0.02486874827448826,9,0.7505479393206651,0.765230578273187,-0.014682638952521865,-0.019187208887619933,9,1.0276610296388977,1.0151081557743344,0.012552873864563337,0.012366045719520269,2,0.8533140422845549,0.8667413938506203,-0.013427351566065547,-0.015491762204194015,9,0.2562040723033122,0.2591885740331073,-0.0029845017297951077,-0.011514788955989452,8
return_only_restart_minus_start,eval,9,0.9036083713429952,0.9358193170306079,-0.032210945687612735,-0.03442004786759412,9,0.7339288757966949,0.753804041398221,-0.019875165601526024,-0.02636648851690948,9,1.0209934054524703,1.005964458375208,0.01502894707726194,0.014939839029239899,3,0.8360282163419419,0.8544004872357418,-0.01837227089379982,-0.021503113783607586,9,0.25203942536713425,0.25539072858505274,-0.003351303217918467,-0.013122258730713487,7
