state,cutoff,seed,epoch,return_mse,return_huber,auxiliary_mse,linear_fraction,common_joint
joint,2017-12-31,20260910,0,0.9464565477836056,0.752621966223268,1.0268330609956502,0.25148986889153757,0.855305272322833
joint,2017-12-31,20260910,5,0.9346402299323442,0.7464751973050544,1.021072861597528,0.2562574493444577,0.8485824834648072
joint,2017-12-31,20260910,10,0.9318115404034684,0.7451930966752737,1.019542230588425,0.2586412395709178,0.8471473197341162
joint,2017-12-31,20260910,15,0.9292132314219537,0.7435655826794596,1.017927723234082,0.2586412395709178,0.8453583550028678
joint,2017-12-31,20260910,20,0.9280391806873142,0.7426888479087321,1.0156428874276038,0.2556615017878427,0.8442531366514925
return_only,2017-12-31,20260910,0,0.9464565477836056,0.752621966223268,1.0268330609956502,0.25148986889153757,0.855305272322833
return_only,2017-12-31,20260910,5,0.9342544956381275,0.7463006570179445,1.0255860863064767,0.25744934445768775,0.8488592656485922
return_only,2017-12-31,20260910,10,0.931059843412105,0.7448534090489817,1.029186722268578,0.25685339690107273,0.8477720812758395
return_only,2017-12-31,20260910,15,0.9282914454115557,0.7431651150738311,1.032837705471341,0.25804529201430276,0.8464488856209652
return_only,2017-12-31,20260910,20,0.927169488292671,0.7422935348329038,1.0350457827945787,0.25804529201430276,0.8457981131123617
joint,2017-12-31,20260911,0,0.9548174893298708,0.7611066522493264,1.003401447251812,0.25804529201430276,0.8614467969745077
joint,2017-12-31,20260911,5,0.9475468332674857,0.7570147060318889,0.9950731441764887,0.2562574493444577,0.8565220204495378
joint,2017-12-31,20260911,10,0.9410757418616031,0.7539015805764373,0.9923896756049809,0.25446960667461266,0.8531405481369354
joint,2017-12-31,20260911,15,0.9365165898181511,0.7514131378798374,0.9900533256916878,0.2562574493444577,0.8504184704490062
joint,2017-12-31,20260911,20,0.9324825283930697,0.7488525845115528,0.9898205095851024,0.25089392133492255,0.847834635470063
return_only,2017-12-31,20260911,0,0.9548174893298708,0.7611066522493264,1.003401447251812,0.25804529201430276,0.8614467969745077
return_only,2017-12-31,20260911,5,0.9472687784642758,0.7569219311363531,1.0003143708122821,0.2562574493444577,0.8569533682175813
return_only,2017-12-31,20260911,10,0.9403314034205827,0.7535854883265303,1.001451914177606,0.2550655542312277,0.8537306797442908
return_only,2017-12-31,20260911,15,0.9354895461069492,0.7509714771599281,1.0022304753447673,0.25387365911799764,0.8511945246944048
return_only,2017-12-31,20260911,20,0.9314915098672434,0.7484585379990717,1.0029446126735537,0.2520858164481526,0.8487529992664271
joint,2017-12-31,20260912,0,0.9819753075575495,0.7779103253648761,1.0214985052747507,0.2622169249106079,0.8800601758923512
joint,2017-12-31,20260912,5,0.9751862162041931,0.7732498411585377,1.0240517467420207,0.2628128724672229,0.8756550158327397
joint,2017-12-31,20260912,10,0.9690868955998053,0.7694259559698391,1.0265391853297212,0.2592371871275328,0.8720798745028112
joint,2017-12-31,20260912,15,0.963430339522187,0.7658095617022825,1.0279649865366207,0.25804529201430276,0.8686060603559447
joint,2017-12-31,20260912,20,0.9566516721787931,0.7619485543425816,1.0291009264597415,0.2586412395709178,0.8648586469885557
return_only,2017-12-31,20260912,0,0.9819753075575495,0.7779103253648761,1.0214985052747507,0.2622169249106079,0.8800601758923512
return_only,2017-12-31,20260912,5,0.9737286950676896,0.7722009750233537,1.0351408236172757,0.2622169249106079,0.8757150573850813
return_only,2017-12-31,20260912,10,0.9659809130269938,0.7673462186585723,1.0496527949998575,0.2592371871275328,0.8723114981585581
return_only,2017-12-31,20260912,15,0.9585003830040805,0.7627382195583161,1.0648611782205262,0.2586412395709178,0.8692243373803688
return_only,2017-12-31,20260912,20,0.9500244183875387,0.7584538826627555,1.082211684235799,0.2598331346841478,0.8666750510863354
joint,2018-12-31,20260910,0,0.8386664172532877,0.6967829509894636,0.9798246957730155,0.23789692868297763,0.7947654205667651
joint,2018-12-31,20260910,5,0.7995389811640493,0.6728204252969933,0.9670781681991877,0.2332118688183238,0.7695282421169121
joint,2018-12-31,20260910,10,0.7959498585643338,0.6708166165264845,0.9629646083015225,0.23477355543987508,0.7671130773566368
joint,2018-12-31,20260910,15,0.7878887563815749,0.6658918627994083,0.9586631893677242,0.23112961998958875,0.7617581817361807
joint,2018-12-31,20260910,20,0.7842937527509292,0.6632580080897343,0.9552159424481418,0.23112961998958875,0.7587796023345486
return_only,2018-12-31,20260910,0,0.8386664172532877,0.6967829509894636,0.9798246957730155,0.23789692868297763,0.7947654205667651
return_only,2018-12-31,20260910,5,0.7989418807424834,0.6726465683844581,0.9725981484293813,0.23112961998958875,0.7699063832273962
return_only,2018-12-31,20260910,10,0.7951401729744209,0.6705120835771482,0.9727492396841442,0.23633524206142634,0.7677870075455626
return_only,2018-12-31,20260910,15,0.7869447136812575,0.6655186190276587,0.9732878592732144,0.2332118688183238,0.7628474049549802
return_only,2018-12-31,20260910,20,0.7834678410651685,0.662906303131573,0.9744458024480701,0.230609057782405,0.7603508833763799
joint,2018-12-31,20260911,0,0.943862698012663,0.7607349738735357,0.988868195637246,0.2576782925559604,0.8596217934372603
joint,2018-12-31,20260911,5,0.9280933442957475,0.7520861794604211,0.9883758045775638,0.2519521082769391,0.8509237599181775
joint,2018-12-31,20260911,10,0.9208769455762792,0.7477201444944723,0.9889701621094016,0.25247267048412286,0.8466171607054125
joint,2018-12-31,20260911,15,0.9171095913704062,0.7450172744364219,0.9870463869321601,0.2483081728266528,0.8437219131296378
joint,2018-12-31,20260911,20,0.9113041094172467,0.7418824047669141,0.9871038701627666,0.2514315460697553,0.8405927917831908
return_only,2018-12-31,20260911,0,0.943862698012663,0.7607349738735357,0.988868195637246,0.2576782925559604,0.8596217934372603
return_only,2018-12-31,20260911,5,0.9269697113700007,0.7514130523387157,0.9904594519357394,0.2514315460697553,0.8504589975322896
return_only,2018-12-31,20260911,10,0.9188964348393713,0.7466411593279284,0.9955373635745371,0.2519521082769391,0.8461948956853821
return_only,2018-12-31,20260911,15,0.9148771789456247,0.7438119023438161,0.9969036567496607,0.24778761061946902,0.8435022680187823
return_only,2018-12-31,20260911,20,0.9089372490542218,0.7406499843875126,1.000341818900173,0.25299323269130664,0.84068416627753
joint,2018-12-31,20260912,0,0.979161446968716,0.7839542389565757,1.0165652131418397,0.2644456012493493,0.8856107602707597
joint,2018-12-31,20260912,5,0.961234462458503,0.7721227198718712,1.0125248588462599,0.2639250390421655,0.8733752057564972
joint,2018-12-31,20260912,10,0.9567847464021609,0.7694133959195887,1.013094741176234,0.2639250390421655,0.870722870037212
joint,2018-12-31,20260912,15,0.9512425298512988,0.7659196261451333,1.0153313719321824,0.25923997917751174,0.8674527633383515
joint,2018-12-31,20260912,20,0.9468176954837927,0.7630549981899659,1.0156650452533778,0.2576782925559604,0.8646215027153037
return_only,2018-12-31,20260912,0,0.979161446968716,0.7839542389565757,1.0165652131418397,0.2644456012493493,0.8856107602707597
return_only,2018-12-31,20260912,5,0.9605646161091836,0.7717109191234707,1.0169040514102894,0.2634044768349818,0.8734013242644996
return_only,2018-12-31,20260912,10,0.9551333573304972,0.7683424529727553,1.021248607737735,0.2618427902134305,0.8704673137465287
return_only,2018-12-31,20260912,15,0.9489254456870314,0.7644256004391847,1.0300395109228702,0.25923997917751174,0.8674295515314717
return_only,2018-12-31,20260912,20,0.9438054893498011,0.7611346447174363,1.036341497161654,0.26236335242061426,0.8647687944336018
joint,2019-12-31,20260910,0,0.9353543006579419,0.7558157445806246,1.0138417956632224,0.25635103926096997,0.8571999241469469
joint,2019-12-31,20260910,5,0.9081255751877505,0.7365088799196503,1.0122758319846614,0.2535796766743649,0.8377364631181164
joint,2019-12-31,20260910,10,0.904315463784671,0.7336918983188564,1.009456954006854,0.2531177829099307,0.8346375937195418
joint,2019-12-31,20260910,15,0.8969978432916228,0.7289244817563796,1.008179563086041,0.2531177829099307,0.8297424380649837
joint,2019-12-31,20260910,20,0.897042582837853,0.7287540331379383,1.004517334907834,0.2484988452655889,0.8292057666287217
return_only,2019-12-31,20260910,0,0.9353543006579419,0.7558157445806246,1.0138417956632224,0.25635103926096997,0.8571999241469469
return_only,2019-12-31,20260910,5,0.9075008445773853,0.7360988482889391,1.0180419628600876,0.2531177829099307,0.8379030445749479
return_only,2019-12-31,20260910,10,0.9038551646133868,0.733441251802917,1.0176967942343023,0.2526558891454965,0.8352109312263472
return_only,2019-12-31,20260910,15,0.8967219115211489,0.7287981020023374,1.0201827709311426,0.2517321016166282,0.8308163790954517
return_only,2019-12-31,20260910,20,0.8965507501658018,0.7284659174225198,1.0188814950285277,0.24896073903002308,0.8303540669253725
joint,2019-12-31,20260911,0,0.9085341405967877,0.7388686069067972,0.9766946970951887,0.2558891454965358,0.8365380766163161
joint,2019-12-31,20260911,5,0.9016810332643227,0.7331212024668771,0.9727537762915702,0.2526558891454965,0.8303965800960341
joint,2019-12-31,20260911,10,0.8983905846354545,0.7306089971206323,0.9701042107067676,0.24988452655889146,0.827619418191309
joint,2019-12-31,20260911,15,0.8948714148193382,0.7278397696513534,0.9676094039259414,0.24757505773672056,0.8246007100439476
joint,2019-12-31,20260911,20,0.8921548192981087,0.7256002395751919,0.9661155874249429,0.2471131639722864,0.8222117983176862
return_only,2019-12-31,20260911,0,0.9085341405967877,0.7388686069067972,0.9766946970951887,0.2558891454965358,0.8365380766163161
return_only,2019-12-31,20260911,5,0.9016126132478145,0.7330665568370861,0.9753884431568359,0.2517321016166282,0.8306054011527697
return_only,2019-12-31,20260911,10,0.8981691382831414,0.7304539594129734,0.9750855074124303,0.24942263279445728,0.8279625101542165
return_only,2019-12-31,20260911,15,0.8946381670966973,0.7276214777000959,0.9745624633209121,0.24665127020785219,0.8250777240321872
return_only,2019-12-31,20260911,20,0.8919533930499787,0.7253964918871403,0.975497194236751,0.2471131639722864,0.8229462113108154
joint,2019-12-31,20260912,0,0.9335455051150503,0.7564409134395205,1.0261525145441501,0.2545034642032333,0.8590561648939354
joint,2019-12-31,20260912,5,0.9162504125732889,0.7472871726971505,1.0261924248369407,0.2554272517321016,0.8499064151808446
joint,2019-12-31,20260912,10,0.9097154812433241,0.7435483420310136,1.0265966739238823,0.25496535796766745,0.8462080094234019
joint,2019-12-31,20260912,15,0.9057076746019297,0.7411586497831139,1.0224471682988057,0.2535796766743649,0.8434033666129944
joint,2019-12-31,20260912,20,0.9033618969429461,0.7396013335301607,1.021689080665486,0.2554272517321016,0.8417702415967092
return_only,2019-12-31,20260912,0,0.9335455051150503,0.7564409134395205,1.0261525145441501,0.2545034642032333,0.8590561648939354
return_only,2019-12-31,20260912,5,0.9142810758494975,0.7463448298274575,1.0383177701168742,0.2554272517321016,0.850176606839145
return_only,2019-12-31,20260912,10,0.9065679000819739,0.7421467591834514,1.0513683939399951,0.25635103926096997,0.847283598577451
return_only,2019-12-31,20260912,15,0.9018215265034397,0.7393339193953793,1.0564063639274646,0.2545034642032333,0.8449745557881257
return_only,2019-12-31,20260912,20,0.8990752028545328,0.7376005851293408,1.063230761593126,0.25635103926096997,0.8439236612886534
