state,cutoff,seed,mode,draw,audit_seed,return_mse,return_huber,auxiliary_mse,linear_fraction,common_joint
joint,2017-12-31,20260910,eval,-1,-1,0.9280391806873142,0.7426888479087321,1.0156428874276038,0.2556615017878427,0.8442531366514925
joint,2017-12-31,20260910,dropout,0,20261100,0.936784570792707,0.7489278785126666,1.0164631461331686,0.2562574493444577,0.8505741931259835
joint,2017-12-31,20260910,dropout,1,20261101,0.9505430247108096,0.7562933604770246,1.0203092358962003,0.25685339690107273,0.8583242840666446
joint,2017-12-31,20260910,dropout,2,20261102,0.9449908538308465,0.7546248506769134,1.0204221139683058,0.2598331346841478,0.856667062073744
joint,2017-12-31,20260910,dropout,3,20261103,0.9544877749314334,0.7606835555958719,1.0198771206038217,0.25744934445768775,0.862671267656254
joint,2017-12-31,20260910,dropout,4,20261104,0.9453824719606763,0.7554656694559577,1.0201619626050626,0.26519666269368297,0.857481865716464
joint,2017-12-31,20260910,dropout,5,20261105,0.9433687640252771,0.7528697151468078,1.0180951983526936,0.25029797377830754,0.8546792349820771
joint,2017-12-31,20260910,dropout,6,20261106,0.945569914437536,0.7547040594746499,1.018688516116327,0.25685339690107273,0.8565729110862826
joint,2017-12-31,20260910,dropout,7,20261107,0.9457173286248053,0.7548687961898837,1.0190886847221952,0.2550655542312277,0.8567776646621033
return_only,2017-12-31,20260910,eval,-1,-1,0.927169488292671,0.7422935348329038,1.0350457827945787,0.25804529201430276,0.8457981131123617
return_only,2017-12-31,20260910,dropout,0,20261100,0.9354171854315897,0.7481033132500444,1.031525845798143,0.2526817640047676,0.8512558978298588
return_only,2017-12-31,20260910,dropout,1,20261101,0.9499234000079891,0.7557577457318203,1.0360985666877536,0.2598331346841478,0.8593676024005956
return_only,2017-12-31,20260910,dropout,2,20261102,0.944087472295074,0.7542076017434794,1.035815250572523,0.26042908224076283,0.8577891268007318
return_only,2017-12-31,20260910,dropout,3,20261103,0.9536419605509592,0.760224455576147,1.0355788619747037,0.25387365911799764,0.8637823417736175
return_only,2017-12-31,20260910,dropout,4,20261104,0.9442357285394982,0.7547944959109499,1.035810125760814,0.2634088200238379,0.8583755084870314
return_only,2017-12-31,20260910,dropout,5,20261105,0.9428219509212602,0.752402054137734,1.0340143890876026,0.25148986889153757,0.8558034930464943
return_only,2017-12-31,20260910,dropout,6,20261106,0.944847275404787,0.7542765473916082,1.0342923182243742,0.2532777115613826,0.8577057792140457
return_only,2017-12-31,20260910,dropout,7,20261107,0.9446910777471793,0.7541483234117815,1.034676253311647,0.2550655542312277,0.8576159487429462
joint,2017-12-31,20260911,eval,-1,-1,0.9324825283930697,0.7488525845115528,0.9898205095851024,0.25089392133492255,0.847834635470063
joint,2017-12-31,20260911,dropout,0,20261100,0.9483240763939259,0.7583342989616167,1.0022706898113578,0.25804529201430276,0.8585613679427525
joint,2017-12-31,20260911,dropout,1,20261101,0.9479128578555612,0.7597944552098025,1.0001591262657359,0.25387365911799764,0.8598103678363761
joint,2017-12-31,20260911,dropout,2,20261102,0.9484382039807671,0.7581103865799089,1.004444069416663,0.25744934445768775,0.8585547935215753
joint,2017-12-31,20260911,dropout,3,20261103,0.9480965021672805,0.7594307732491994,1.0028529162280022,0.2628128724672229,0.8597160648719996
joint,2017-12-31,20260911,dropout,4,20261104,0.9448023975395919,0.755470406609215,0.9994344405732223,0.2562574493444577,0.8554138506665373
joint,2017-12-31,20260911,dropout,5,20261105,0.9407295170583808,0.753906392634761,0.9942932066788477,0.2592371871275328,0.8533357133026458
joint,2017-12-31,20260911,dropout,6,20261106,0.9487772299168454,0.7562057648398852,0.9994540496821448,0.24910607866507747,0.8561511698080997
joint,2017-12-31,20260911,dropout,7,20261107,0.9491055349925562,0.7598665448802993,0.9994460686139931,0.2598331346841478,0.8598111517416985
return_only,2017-12-31,20260911,eval,-1,-1,0.9314915098672434,0.7484585379990717,1.0029446126735537,0.2520858164481526,0.8487529992664271
return_only,2017-12-31,20260911,dropout,0,20261100,0.9477926824297288,0.7580847768981626,1.0144556818532184,0.25744934445768775,0.8595303450834844
return_only,2017-12-31,20260911,dropout,1,20261101,0.9472102190122395,0.7594390270385958,1.0131763080745508,0.2526817640047676,0.8607566578460508
return_only,2017-12-31,20260911,dropout,2,20261102,0.947901389733479,0.7577388520102863,1.0166851923566786,0.25685339690107273,0.8594073712459542
return_only,2017-12-31,20260911,dropout,3,20261103,0.9476762746218138,0.7593086459755932,1.0148406998521877,0.26162097735399287,0.860792715960812
return_only,2017-12-31,20260911,dropout,4,20261104,0.9445610417596172,0.7553918363191516,1.012207377708658,0.25744934445768775,0.8566125740900175
return_only,2017-12-31,20260911,dropout,5,20261105,0.9403098166752154,0.7537810226336862,1.0065632311580648,0.26042908224076283,0.8544373457494927
return_only,2017-12-31,20260911,dropout,6,20261106,0.9478354203922871,0.7555719828460559,1.0117135352351847,0.24910607866507747,0.8567433363695743
return_only,2017-12-31,20260911,dropout,7,20261107,0.9486732654321395,0.759734897131409,1.0116598744620264,0.2622169249106079,0.8609008845776116
joint,2017-12-31,20260912,eval,-1,-1,0.9566516721787931,0.7619485543425816,1.0291009264597415,0.2586412395709178,0.8648586469885557
joint,2017-12-31,20260912,dropout,0,20261100,0.9674344230425234,0.7691276749803417,1.0305575691518751,0.26042908224076283,0.8721834318955293
joint,2017-12-31,20260912,dropout,1,20261101,0.9685705384523453,0.7698260955016971,1.0337905386180857,0.2634088200238379,0.8732051493635057
joint,2017-12-31,20260912,dropout,2,20261102,0.9678108375306962,0.7702567695305634,1.0355530783658375,0.25804529201430276,0.8738120773671472
joint,2017-12-31,20260912,dropout,3,20261103,0.9663317074600134,0.767539368315082,1.0352556446880208,0.25744934445768775,0.8710649327838841
