state,cutoff,seed,mode,draws,return_mse,return_mse_draw_sd,return_huber,return_huber_draw_sd,auxiliary_mse,auxiliary_mse_draw_sd,common_joint,common_joint_draw_sd,linear_fraction,linear_fraction_draw_sd
archived_mse,2017-12-31,20260910,eval,1,0.903568361426495,0.0,0.7377728447986124,0.0,1.0320103441779107,0.0,0.8409738792164034,0.0,0.2514898688915375,0.0
archived_mse,2017-12-31,20260910,dropout,8,0.9345681296663793,0.005446385311203407,0.7570679139082088,0.0033173171561369777,1.0334855401319594,0.0009395822843959697,0.8604164679214048,0.003351812355871018,0.2565554231227652,0.004862414544966334
archived_mse,2017-12-31,20260911,eval,1,0.9383147278331684,0.0,0.7551924212106029,0.0,1.0268788914483693,0.0,0.8578803103554399,0.0,0.2550655542312277,0.0
archived_mse,2017-12-31,20260911,dropout,8,0.9495327847074061,0.0031477560889592994,0.7613704997977224,0.002240354490338163,1.0323960455079009,0.0018265989921579888,0.8646101043485126,0.0023313599513877076,0.2552890345649583,0.004777546836425219
archived_mse,2017-12-31,20260912,eval,1,0.8647827016442865,0.0,0.7158708124178795,0.0,1.0581026276411474,0.0,0.8216810751819943,0.0,0.2419547079856972,0.0
archived_mse,2017-12-31,20260912,dropout,8,0.9074792785152412,0.006393605297983222,0.7422282581250135,0.004919787060724811,1.0680096275794748,0.0018238278169363555,0.8490292208829611,0.005062719387356348,0.2541716328963051,0.0044710253722121136
archived_mse,2018-12-31,20260910,eval,1,0.8408978732709017,0.0,0.7075233851471252,0.0,0.978892420167913,0.0,0.8054126271639165,0.0,0.247787610619469,0.0
archived_mse,2018-12-31,20260910,dropout,8,0.8821882162156409,0.01019224387270978,0.7338650977273287,0.006803415670609034,0.9945775325347528,0.0025722605239539053,0.8333228509808039,0.006930588849510032,0.25618167621030713,0.0044384279351960595
archived_mse,2018-12-31,20260911,eval,1,0.8820400544067436,0.0,0.7303375087858671,0.0,1.0100207789425333,0.0,0.8313395866801204,0.0,0.2483081728266528,0.0
archived_mse,2018-12-31,20260911,dropout,8,0.9115632562137003,0.003756928345982693,0.7479454267652629,0.002996867083098583,1.0175509504796447,0.0027138398998973077,0.8497005218132274,0.0031804388240988008,0.25780843310775636,0.004124801511680927
archived_mse,2018-12-31,20260912,eval,1,0.906809092494444,0.0,0.7447582159533372,0.0,1.0478992922108412,0.0,0.8495481451744213,0.0,0.2566371681415929,0.0
