comparison,cutoff,seed,draws,return_huber_difference_mean,return_huber_difference_draw_sd,return_huber_difference_min,return_huber_difference_max,return_huber_negative_draws,auxiliary_mse_difference_mean,auxiliary_mse_difference_draw_sd,auxiliary_mse_difference_min,auxiliary_mse_difference_max,auxiliary_mse_negative_draws,common_joint_difference_mean,common_joint_difference_draw_sd,common_joint_difference_min,common_joint_difference_max,common_joint_negative_draws
archived_huber_minus_mse,2017-12-31,20260910,8,0.006003703573273497,0.003148789968521671,-0.0012248925775799613,0.008698818388644058,1,-0.0010609449086104172,0.0017452514775266135,-0.004297023716785642,0.0006992576912452364,5,0.00589760908241245,0.0032429111453429766,-0.0016545949492585699,0.00843369338277511,1
archived_huber_minus_mse,2017-12-31,20260911,8,0.004861240889486515,0.0019945190058402017,0.002385710764887028,0.00850585650952107,0,-0.021184201471627473,0.0024364305048159714,-0.02565146213634928,-0.01844553826809725,8,0.002742820742323779,0.0020440464434525966,0.0004576679588681465,0.006358190615491255,0
archived_huber_minus_mse,2017-12-31,20260912,8,0.038878963661344246,0.004982339640897255,0.030166443107244145,0.04413495533519052,0,-0.04072905973785504,0.001555845106109754,-0.04269861484543647,-0.0380307186230644,8,0.034806057687558734,0.005080201847039351,0.026045200985103434,0.04033188347288408,0
archived_huber_minus_mse,2018-12-31,20260910,8,-0.0106324085773159,0.006225242772875249,-0.020409116024157514,-0.0038760023098652896,8,-0.002455837611314571,0.002888557939040271,-0.006243839966620923,0.0026045053642688165,6,-0.010877992338447356,0.00634265714551476,-0.020766349264721873,-0.003615551773438419,8
archived_huber_minus_mse,2018-12-31,20260911,8,0.02489764248957685,0.0029272324048349534,0.020275765991953687,0.027703122435309258,0,-0.009808578059408907,0.0029612883109217695,-0.015200015745052475,-0.004478907473443483,8,0.02391678468363599,0.0030971913977891927,0.018755764417448417,0.027255231687964954,0
archived_huber_minus_mse,2018-12-31,20260912,8,0.0307397235109568,0.005812381633142479,0.02123158197751307,0.03938475619579962,0,-0.024453727413067783,0.0006060770615027174,-0.0253220357249051,-0.023382831421108197,8,0.028294350769650034,0.005766817446148111,0.01889329883540225,0.036867775170591144,0
archived_huber_minus_mse,2019-12-31,20260910,8,0.00010578453987494796,0.002259630229070495,-0.0018126470657531257,0.004316311730377498,4,-0.0007162523128987075,0.0006630351067800471,-0.0021836123878768987,8.443651966083543e-05,7,3.4159308585066106e-05,0.002288751387523327,-0.002031008304540838,0.004324755382343559,4
archived_huber_minus_mse,2019-12-31,20260911,8,0.002076223744667316,0.0038591392049135685,-0.003070856017239665,0.008506078583940035,3,-0.0031143747013079176,0.0025544902935823685,-0.006926501886467484,0.000311531046487179,7,0.001764786274536509,0.003996021504772743,-0.0032508171351834925,0.008340470682757561,3
archived_huber_minus_mse,2019-12-31,20260912,8,0.007679148022014318,0.0029029314559004087,0.004093026988413517,0.012351006773053452,0,-0.007348189930330484,0.0016237212124557165,-0.010707926383676458,-0.005198066888105979,8,0.006944329028981261,0.0030006846833894444,0.0030222343500458937,0.011642816379344056,0
joint_restart_minus_start,2017-12-31,20260910,8,-0.008266881790260347,0.002071913479916144,-0.011237625658252037,-0.005309567452155606,8,-0.013286347923627206,0.0006941109245551379,-0.013990131154638652,-0.011960643129389936,8,-0.009595516582623073,0.002111708157354871,-0.012636638773715902,-0.006505631765094555,8
joint_restart_minus_start,2017-12-31,20260911,8,-0.008591862816622983,0.0008142556203848244,-0.01006363788953768,-0.007722797795286063,8,-0.01091752312752757,0.000978203958522226,-0.012579333070439125,-0.009853687665743793,8,-0.009683615129375753,0.0007982362468050327,-0.01118371553677977,-0.008721891757357825,8
joint_restart_minus_start,2017-12-31,20260912,8,-0.011638495749760835,0.0008903365822328641,-0.013144389904664822,-0.010353901144414146,8,0.006232392812964671,0.0005141289460115896,0.005638583355690896,0.007074781676867703,0,-0.011015256468464366,0.0008969407161792993,-0.012503355893081158,-0.009646422976727465,8
joint_restart_minus_start,2018-12-31,20260910,8,-0.023060534070726904,0.003032667842704295,-0.02665655878786999,-0.01750106785045924,8,-0.017227421697463788,0.001608080310735064,-0.01874105640062118,-0.014389700592262189,8,-0.024783276240473287,0.003174109916723209,-0.02850722922356419,-0.01894003790968546,8
joint_restart_minus_start,2018-12-31,20260911,8,-0.01096950268146775,0.0015674062778502174,-0.013675568487898526,-0.008501221396358893,8,-0.0054322522034687265,0.0009592376587106086,-0.006897176063693555,-0.003931116363162679,8,-0.011512727901814623,0.001606768838177837,-0.014191709203295488,-0.008894333032675172,8
joint_restart_minus_start,2018-12-31,20260912,8,-0.018245746708319716,0.0017001142938585507,-0.019841528960508725,-0.015326794207494387,8,-0.0003801096499329859,0.0005884847482517289,-0.0011711662624540597,0.000672800878507962,6,-0.018283757673313014,0.0017025617738361406,-0.01992964962391064,-0.015402036926692952,8
joint_restart_minus_start,2019-12-31,20260910,8,-0.01998077597670596,0.0031663185585597167,-0.025701476488609765,-0.016548953966624813,8,-0.009348401581700805,0.0006333783603944883,-0.010163211979092424,-0.008570861721768575,8,-0.02091561613487604,0.0031817938462407806,-0.026596331614900937,-0.017472631243590997,8
joint_restart_minus_start,2019-12-31,20260911,8,-0.010308247879842233,0.0008723805883950279,-0.011574725606836367,-0.009020146361084058,8,-0.009385292807284243,0.0008394597631300837,-0.01038892544272585,-0.008198866728202803,8,-0.011246777160570653,0.0009243592046469865,-0.012509912858005512,-0.00984003303390435,8
joint_restart_minus_start,2019-12-31,20260912,8,-0.014319705183815923,0.0011797291722420644,-0.015830258138512465,-0.01297128922771218,8,-0.006339574477465332,0.0006099341420129679,-0.007043718171518831,-0.0051049075728200055,8,-0.014953662631562448,0.0012001086123145453,-0.01646431161860762,-0.013603167620065748,8
return_only_restart_minus_start,2017-12-31,20260910,8,-0.008832300337286686,0.002084127395459069,-0.012062190920874238,-0.00592836381374795,8,0.00230185620384607,0.0008142072563103645,0.0010725685103358806,0.003626925460061825,0,-0.00860211471690206,0.002136252483018655,-0.011954934069840606,-0.005667347684251589,8
return_only_restart_minus_start,2017-12-31,20260911,8,-0.008850360580591424,0.0008596707917299898,-0.010142208179601098,-0.007844925068892228,8,0.0014508935512977106,0.0008717233258705069,-0.00036552722240590363,0.0023874352742718763,1,-0.008705271225461664,0.0008260718989348834,-0.009984992113299618,-0.007645240668545439,8
return_only_restart_minus_start,2017-12-31,20260912,8,-0.01418983042398575,0.0014703726090990422,-0.01649978739560587,-0.01236872519221488,8,0.04848948667348718,0.0006430181157606106,0.047483383743391894,0.04923306029019092,0,-0.009340881756637068,0.001462990974747213,-0.011614237390228932,-0.0075230026059787125,8
return_only_restart_minus_start,2018-12-31,20260910,8,-0.023255746521302162,0.0031829889747593365,-0.02695118860836654,-0.017377891771268805,8,-0.0007260058386438228,0.0015856316742765691,-0.0022454876210276087,0.0021121838207142085,6,-0.023328347105166555,0.0033222585987167986,-0.027143561034795982,-0.017166673389197418,8
return_only_restart_minus_start,2018-12-31,20260911,8,-0.011349395705512466,0.0016200812342100038,-0.014014243934922455,-0.008684186397200255,8,0.008095710022488434,0.0010869462902306879,0.006161480965572785,0.009333864554475824,0,-0.010539824703263659,0.0016562402665253246,-0.013136107468748048,-0.00776819309894905,8
return_only_restart_minus_start,2018-12-31,20260912,8,-0.019508896500421993,0.0019415578021350303,-0.02130138855125696,-0.016075157442593357,8,0.023009067721507903,0.0009033557740444896,0.021899483205904957,0.02429976557681557,0,-0.017207989728271186,0.0019476538192714817,-0.019111440230666576,-0.013822862119415635,8
return_only_restart_minus_start,2019-12-31,20260910,8,-0.02008438874316236,0.0031677849002067658,-0.025954768255899374,-0.01675829734887091,8,0.0040147854217413015,0.0005227730855756536,0.0033433804783205012,0.004663714689071785,0,-0.019682910200988238,0.003166105049060318,-0.02550178223407429,-0.01636678643732692,8
return_only_restart_minus_start,2019-12-31,20260911,8,-0.010360233901758095,0.0009460111159704318,-0.011815848760822978,-0.009088152123817528,8,-0.0010398856668537848,0.0008776009184658687,-0.002303919321739012,0.00020377137472382678,7,-0.01046422246844346,0.001000022401705287,-0.011925634252677342,-0.009067774986345145,8
return_only_restart_minus_start,2019-12-31,20260912,8,-0.015712597858676014,0.0012222841415523186,-0.017159417351849338,-0.013945851905722506,8,0.027379956692199198,0.0008887947045449051,0.025657457078852364,0.028814963234145674,0,-0.012974602189456105,0.001206755506814842,-0.014449874080132097,-0.011208190595029421,8
return_only_minus_joint,2017-12-31,20260910,8,-0.000565418547026339,0.0001535781856043663,-0.0008245652626222011,-0.00041724893343397795,8,0.015588204127473276,0.00026211770520143953,0.015062699664974533,0.015919190734908995,0,0.0009934018657210136,0.0001692990812631078,0.0006817047038752966,0.0011328681277630315,0
return_only_minus_joint,2017-12-31,20260911,8,-0.0002584977639684405,0.00018817786940922296,-0.0006337819938293521,-7.857029006341776e-05,8,0.01236841667882528,0.0003432438395001315,0.011987783624185289,0.013017181808814726,0,0.000978343903914089,0.00018970061162415088,0.0005921665614746496,0.0011987234234801525,0
