comparison,cutoff,seed,draws,return_huber_difference_mean,return_huber_difference_draw_sd,return_huber_difference_min,return_huber_difference_max,return_huber_negative_draws,auxiliary_mse_difference_mean,auxiliary_mse_difference_draw_sd,auxiliary_mse_difference_min,auxiliary_mse_difference_max,auxiliary_mse_negative_draws,common_joint_difference_mean,common_joint_difference_draw_sd,common_joint_difference_min,common_joint_difference_max,common_joint_negative_draws
return_only_minus_joint,2017-12-31,20260912,8,-0.0025513346742249143,0.0006685485345925002,-0.0035492905673434327,-0.0014692007890768632,8,0.04225709386052251,0.000592474718212966,0.041508728502866576,0.04314155409976195,0,0.0016743747118272978,0.0006789232891075866,0.0006120858419512709,0.0027707204085735126,0
return_only_minus_joint,2018-12-31,20260910,8,-0.00019521245057525782,0.00020113050501629524,-0.0005658254826453879,0.0001231760791904346,7,0.016501415858819965,0.0004749637132867375,0.01586864756023676,0.017433685742664018,0,0.0014549291353067317,0.00021050280745369229,0.0010306636044974393,0.001773364520488041,0
return_only_minus_joint,2018-12-31,20260911,8,-0.0003798930240447168,0.00019087099384026702,-0.0007460577872656637,-0.0001829650008413619,8,0.01352796222595716,0.000348047339988286,0.01305865702926634,0.013942771815713684,0,0.0009729031985509645,0.00019486493007965787,0.0006305605845442486,0.001136785778927285,0
return_only_minus_joint,2018-12-31,20260912,8,-0.0012631497921022777,0.00045478461668386577,-0.002209587587903017,-0.00074836323509897,8,0.02338917737144089,0.0004313916983422011,0.022780689839923207,0.024281750348305264,0,0.0010757679450418278,0.00046989345170485135,0.00012773798898957356,0.001579174807277317,0
return_only_minus_joint,2019-12-31,20260910,8,-0.00010361276645640127,0.0002127408722298227,-0.0004897857094370295,0.00013337247777578387,5,0.013363187003442106,0.00019404223507518855,0.013115909542484205,0.013659952763321659,0,0.001232705933887801,0.00021698294021867202,0.0008423810028898027,0.0014796949219122446,0
return_only_minus_joint,2019-12-31,20260911,8,-5.198602191586188e-05,0.0001619465559149261,-0.0003238134901794032,0.00015335639904623388,5,0.008345407140430458,0.00013258424663361188,0.008085006120986837,0.008452560878240423,0,0.0007825546921271936,0.00016825976829912465,0.0005079826760732153,0.0009974211189007764,0
return_only_minus_joint,2019-12-31,20260912,8,-0.0013928926748600912,0.0003613167002166357,-0.001883806504541119,-0.0008542674583543741,8,0.03371953116966453,0.0005780725430763569,0.03249701092892909,0.03419360479051736,0,0.0019790604421063424,0.000370994011132024,0.001496121356509339,0.002474129635162692,0
joint_restart_minus_archived_mse,2017-12-31,20260910,8,-0.0022631782169868497,0.004741341133526195,-0.012462518235831999,0.00268185933926135,6,-0.014347292832237624,0.0018445441107975823,-0.018287154871424294,-0.012422103430360876,8,-0.003697907500210623,0.004891198546741164,-0.014291233722974472,0.0013401235076674345,6
joint_restart_minus_archived_mse,2017-12-31,20260911,8,-0.0037306219271364682,0.0022811051905680508,-0.006603345353110801,0.000363305262919833,7,-0.03210172459915504,0.002718851409591859,-0.035675739603065915,-0.028436477888815093,8,-0.006940794387051974,0.002281626405688786,-0.009516756925704084,-0.003042293938153917,8
joint_restart_minus_archived_mse,2017-12-31,20260912,8,0.02724046791158341,0.004409977257208522,0.01981254196283,0.03172119596242673,0,-0.03449666692489037,0.001735621116351348,-0.03664060095957833,-0.031239015917172708,8,0.023790801219094368,0.004481302482308307,0.01639877800837597,0.02859729437070946,0
joint_restart_minus_archived_mse,2018-12-31,20260910,8,-0.033692942648042803,0.007004027782595495,-0.04400116259449549,-0.02137707016032453,8,-0.01968325930877836,0.0038457961617180928,-0.02475054432356294,-0.011785195227993372,8,-0.035661268578920644,0.007250486933412183,-0.046198205453147234,-0.022555589683123878,8
joint_restart_minus_archived_mse,2018-12-31,20260911,8,0.0139281398081091,0.003211840324940889,0.00685115433126493,0.016587128531782125,0,-0.015240830262877633,0.0026711478702587115,-0.019131132108215154,-0.009657794742504278,8,0.012404056781821368,0.0032746138578100504,0.0054410801256079555,0.015621349057531764,0
joint_restart_minus_archived_mse,2018-12-31,20260912,8,0.012493976802637086,0.006440511901626099,0.002748845801814115,0.022263708395418247,0,-0.02483383706300077,0.0008867608036027792,-0.026074462916889862,-0.023613166872689106,8,0.01001059309633702,0.0063761215960233585,0.0003514321134838738,0.019724105318756346,0
joint_restart_minus_archived_mse,2019-12-31,20260910,8,-0.01987499143683101,0.0032804985738616324,-0.027052155529873168,-0.016830933481976618,8,-0.010064653894599512,0.0008197568757373286,-0.01142038515753896,-0.009161256372446802,8,-0.020881456826290973,0.0032653881305469167,-0.02799061700768335,-0.017767668473223752,8
joint_restart_minus_archived_mse,2019-12-31,20260911,8,-0.008232024135174917,0.003692708764453104,-0.0129165125225994,-0.0012038718489676414,8,-0.01249966750859216,0.0029797315191851794,-0.017155273282775663,-0.00839323785508761,8,-0.009481990886034145,0.003867185010647734,-0.014248477575769303,-0.002220662554763053,8
joint_restart_minus_archived_mse,2019-12-31,20260912,8,-0.006640557161801605,0.002789914148141895,-0.010867892120241307,-0.0024732095764051776,8,-0.013687764407795816,0.0017770191096858313,-0.017547480233753188,-0.011538601689057737,8,-0.008009333602581187,0.002852072936486434,-0.012229618336748627,-0.0038857717872664566,8
