period,history,method,weeks,correct,accuracy,actual_up_rate,predicted_up_rate,brier,logloss,mae,rmse
pooled,annual_head_timeweight2y,learned_market,175,88,0.5028571428571429,0.4514285714285714,0.4114285714285714,0.26387091891170655,0.722312595112186,,
pooled,annual_head_timeweight2y,learned_order_extension,175,88,0.5028571428571429,0.4514285714285714,0.38857142857142857,0.26597634583538826,0.7274845255305906,,
pooled,annual_head_timeweight2y,learned_order_offset,175,90,0.5142857142857142,0.4514285714285714,0.3657142857142857,0.26585123666127963,0.7273025715191107,,
pooled,annual_head_timeweight2y,learned_vol_interaction,175,90,0.5142857142857142,0.4514285714285714,0.3657142857142857,0.2648261786836075,0.7246350806173221,,
pooled,annual_head_weighted_intercept,learned_market,175,92,0.5257142857142857,0.4514285714285714,0.4,0.26368959197297737,0.7227586114504777,,
pooled,annual_head_weighted_intercept,learned_order_extension,175,93,0.5314285714285715,0.4514285714285714,0.3942857142857143,0.26366920169744545,0.7232546842973541,,
pooled,annual_head_weighted_intercept,learned_order_offset,175,93,0.5314285714285715,0.4514285714285714,0.3942857142857143,0.2635643181455718,0.7230417908211056,,
pooled,annual_head_weighted_intercept,learned_vol_interaction,175,89,0.5085714285714286,0.4514285714285714,0.38285714285714284,0.2634940348644196,0.7225900955265182,,
pooled,annual_head_weighted_slopes,learned_market,175,89,0.5085714285714286,0.4514285714285714,0.3942857142857143,0.26445795523248866,0.7235200909564697,,
pooled,annual_head_weighted_slopes,learned_order_extension,175,92,0.5257142857142857,0.4514285714285714,0.3657142857142857,0.2664668598136588,0.7284379984166951,,
pooled,annual_head_weighted_slopes,learned_order_offset,175,89,0.5085714285714286,0.4514285714285714,0.36,0.2663212737001892,0.7281941435096664,,
pooled,annual_head_weighted_slopes,learned_vol_interaction,175,89,0.5085714285714286,0.4514285714285714,0.37142857142857144,0.26544679358996615,0.7259222988073423,,
pooled,control,always_up,175,79,0.4514285714285714,0.4514285714285714,1.0,,,,
pooled,control,market4,175,98,0.56,0.4514285714285714,0.32,0.24887246210007535,0.6909445262022718,,
pooled,control,native_mse,175,80,0.45714285714285713,0.4514285714285714,0.5371428571428571,,,0.06715846918234691,0.09389770582604214
pooled,control,training_frequency,175,96,0.5485714285714286,0.4514285714285714,0.0,0.2480721405143573,0.6892884439504763,,
pooled,control,training_mean_return,175,79,0.4514285714285714,0.4514285714285714,1.0,,,0.06528360096477767,0.09295860039139407
pooled,rolling5_annual20,learned_market,175,92,0.5257142857142857,0.4514285714285714,0.4,0.2643209023536527,0.7240650113316222,,
pooled,rolling5_annual20,learned_order_extension,175,92,0.5257142857142857,0.4514285714285714,0.38857142857142857,0.26419043392489217,0.7242944567651801,,
pooled,rolling5_annual20,learned_order_offset,175,92,0.5257142857142857,0.4514285714285714,0.38857142857142857,0.2640410125605883,0.7239665480836517,,
pooled,rolling5_annual20,learned_vol_interaction,175,91,0.52,0.4514285714285714,0.37142857142857144,0.26409445429872025,0.7238352549763755,,
pooled,weekly_state_validated,learned_market,175,91,0.52,0.4514285714285714,0.4057142857142857,0.26425191378797974,0.7238450326105076,,
pooled,weekly_state_validated,learned_order_extension,175,92,0.5257142857142857,0.4514285714285714,0.4,0.26497634099527073,0.7258972242529155,,
pooled,weekly_state_validated,learned_order_offset,175,92,0.5257142857142857,0.4514285714285714,0.4,0.2648180407692679,0.7255536946957443,,
pooled,weekly_state_validated,learned_vol_interaction,175,91,0.52,0.4514285714285714,0.37142857142857144,0.26477678954440065,0.7252551483603451,,
2023,annual_head_timeweight2y,learned_market,48,28,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.25166832219087826,0.6961467467710803,,
2023,annual_head_timeweight2y,learned_order_extension,48,28,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.25055704950468966,0.6939408376881562,,
2023,annual_head_timeweight2y,learned_order_offset,48,28,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.25092662424499745,0.6946786100035878,,
2023,annual_head_timeweight2y,learned_vol_interaction,48,29,0.6041666666666666,0.4166666666666667,0.1875,0.2529678204356749,0.6992481141446643,,
2023,annual_head_weighted_intercept,learned_market,48,28,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.2518515505343261,0.6965283628390488,,
2023,annual_head_weighted_intercept,learned_order_extension,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.2504140941623042,0.6933687756891477,,
2023,annual_head_weighted_intercept,learned_order_offset,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.2503893724021287,0.6933199305624728,,
2023,annual_head_weighted_intercept,learned_vol_interaction,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.2528003756315393,0.6988896332626552,,
2023,annual_head_weighted_slopes,learned_market,48,28,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.25178447037335194,0.6963761669091229,,
2023,annual_head_weighted_slopes,learned_order_extension,48,29,0.6041666666666666,0.4166666666666667,0.22916666666666666,0.25062331915616226,0.6940367513625744,,
2023,annual_head_weighted_slopes,learned_order_offset,48,29,0.6041666666666666,0.4166666666666667,0.1875,0.25099333654771355,0.6947749420282889,,
2023,annual_head_weighted_slopes,learned_vol_interaction,48,28,0.5833333333333334,0.4166666666666667,0.20833333333333334,0.25306500280513383,0.6994593103663526,,
2023,control,always_up,48,20,0.4166666666666667,0.4166666666666667,1.0,,,,
2023,control,market4,48,25,0.5208333333333334,0.4166666666666667,0.10416666666666667,0.25238095882191675,0.6981658337072805,,
2023,control,native_mse,48,21,0.4375,0.4166666666666667,0.3958333333333333,,,0.05202431695582551,0.06800295116518078
2023,control,training_frequency,48,28,0.5833333333333334,0.4166666666666667,0.0,0.24561357268838466,0.6843632829898105,,
2023,control,training_mean_return,48,20,0.4166666666666667,0.4166666666666667,1.0,,,0.0519629817906066,0.06740329085896779
2023,rolling5_annual20,learned_market,48,28,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.25201342973827745,0.6968593493477946,,
2023,rolling5_annual20,learned_order_extension,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25051465659923644,0.6935561699103298,,
2023,rolling5_annual20,learned_order_offset,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25049515083157764,0.6935165807309351,,
2023,rolling5_annual20,learned_vol_interaction,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25293950549301103,0.6992019222038602,,
2023,weekly_state_validated,learned_market,48,28,0.5833333333333334,0.4166666666666667,0.2916666666666667,0.25201342973827745,0.6968593493477946,,
2023,weekly_state_validated,learned_order_extension,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25051465659923644,0.6935561699103298,,
2023,weekly_state_validated,learned_order_offset,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25049515083157764,0.6935165807309351,,
2023,weekly_state_validated,learned_vol_interaction,48,27,0.5625,0.4166666666666667,0.22916666666666666,0.25293950549301103,0.6992019222038602,,
2024,annual_head_timeweight2y,learned_market,47,22,0.46808510638297873,0.40425531914893614,0.5957446808510638,0.27380122494748027,0.7435472559412776,,
2024,annual_head_timeweight2y,learned_order_extension,47,23,0.48936170212765956,0.40425531914893614,0.574468085106383,0.27358349456080905,0.7440658353472843,,
2024,annual_head_timeweight2y,learned_order_offset,47,23,0.48936170212765956,0.40425531914893614,0.574468085106383,0.2737971626548425,0.7445303364111227,,
2024,annual_head_timeweight2y,learned_vol_interaction,47,22,0.46808510638297873,0.40425531914893614,0.5957446808510638,0.27299010684259595,0.7420918168044273,,
2024,annual_head_weighted_intercept,learned_market,47,23,0.48936170212765956,0.40425531914893614,0.5319148936170213,0.2691822949818525,0.7335655104221259,,
2024,annual_head_weighted_intercept,learned_order_extension,47,26,0.5531914893617021,0.40425531914893614,0.5531914893617021,0.26444839393214853,0.7239545849061283,,
2024,annual_head_weighted_intercept,learned_order_offset,47,26,0.5531914893617021,0.40425531914893614,0.5531914893617021,0.2642307945315378,0.7234734882584106,,
2024,annual_head_weighted_intercept,learned_vol_interaction,47,23,0.48936170212765956,0.40425531914893614,0.5319148936170213,0.26408860369640985,0.7226417635410015,,
2024,annual_head_weighted_slopes,learned_market,47,22,0.46808510638297873,0.40425531914893614,0.5957446808510638,0.27530838979034417,0.7467972321779737,,
2024,annual_head_weighted_slopes,learned_order_extension,47,23,0.48936170212765956,0.40425531914893614,0.574468085106383,0.2751902488798337,0.747306594553698,,
2024,annual_head_weighted_slopes,learned_order_offset,47,22,0.46808510638297873,0.40425531914893614,0.5957446808510638,0.2753415462281829,0.7476550447979872,,
2024,annual_head_weighted_slopes,learned_vol_interaction,47,23,0.48936170212765956,0.40425531914893614,0.6170212765957447,0.2745425384871735,0.7453989848108387,,
2024,control,always_up,47,19,0.40425531914893614,0.40425531914893614,1.0,,,,
2024,control,market4,47,28,0.5957446808510638,0.40425531914893614,0.3404255319148936,0.24524234485384055,0.6835881473606337,,
2024,control,native_mse,47,16,0.3404255319148936,0.40425531914893614,0.8936170212765957,,,0.06818245855199546,0.08886939714110992
2024,control,training_frequency,47,28,0.5957446808510638,0.40425531914893614,0.0,0.24571064838999793,0.6845613912209425,,
2024,control,training_mean_return,47,19,0.40425531914893614,0.40425531914893614,1.0,,,0.062257125618661445,0.08766247719796537
2024,rolling5_annual20,learned_market,47,22,0.46808510638297873,0.40425531914893614,0.5531914893617021,0.27081953859835756,0.7370043178855126,,
2024,rolling5_annual20,learned_order_extension,47,25,0.5319148936170213,0.40425531914893614,0.574468085106383,0.2660611016171755,0.7271689911101182,,
2024,rolling5_annual20,learned_order_offset,47,25,0.5319148936170213,0.40425531914893614,0.574468085106383,0.2657628860682103,0.7265258516743507,,
2024,rolling5_annual20,learned_vol_interaction,47,23,0.48936170212765956,0.40425531914893614,0.5319148936170213,0.2656651179114324,0.7258961896979794,,
2024,weekly_state_validated,learned_market,47,22,0.46808510638297873,0.40425531914893614,0.5531914893617021,0.27075532964961385,0.7368339470422447,,
2024,weekly_state_validated,learned_order_extension,47,25,0.5319148936170213,0.40425531914893614,0.574468085106383,0.2660261553444127,0.7270904745157266,,
2024,weekly_state_validated,learned_order_offset,47,25,0.5319148936170213,0.40425531914893614,0.574468085106383,0.265728313866995,0.7264483604364621,,
2024,weekly_state_validated,learned_vol_interaction,47,23,0.48936170212765956,0.40425531914893614,0.5319148936170213,0.26558636867320795,0.7257015667729777,,
2025,annual_head_timeweight2y,learned_market,48,21,0.4375,0.5,0.2708333333333333,0.27268847408800334,0.7400016354890254,,
2025,annual_head_timeweight2y,learned_order_extension,48,21,0.4375,0.5,0.2708333333333333,0.2784736932318723,0.7537590864229129,,
2025,annual_head_timeweight2y,learned_order_offset,48,21,0.4375,0.5,0.2708333333333333,0.27762774090603076,0.7520320485774376,,
2025,annual_head_timeweight2y,learned_vol_interaction,48,20,0.4166666666666667,0.5,0.25,0.2776623632764017,0.7512653171753682,,
2025,annual_head_weighted_intercept,learned_market,48,23,0.4791666666666667,0.5,0.2708333333333333,0.28043887425714503,0.7591184149759961,,
2025,annual_head_weighted_intercept,learned_order_extension,48,21,0.4375,0.5,0.2708333333333333,0.28476210287020876,0.7699655467298047,,
2025,annual_head_weighted_intercept,learned_order_offset,48,21,0.4375,0.5,0.2708333333333333,0.28474729596492204,0.7699605678800129,,
2025,annual_head_weighted_intercept,learned_vol_interaction,48,21,0.4375,0.5,0.2708333333333333,0.2848420888554757,0.7694394908483174,,
2025,annual_head_weighted_slopes,learned_market,48,21,0.4375,0.5,0.2708333333333333,0.27299315932521767,0.7406897266231013,,
2025,annual_head_weighted_slopes,learned_order_extension,48,21,0.4375,0.5,0.2708333333333333,0.2787777377695108,0.7545628641256436,,
2025,annual_head_weighted_slopes,learned_order_offset,48,20,0.4166666666666667,0.5,0.25,0.27785697838883666,0.752630653303564,,
2025,annual_head_weighted_slopes,learned_vol_interaction,48,20,0.4166666666666667,0.5,0.25,0.2778995544101859,0.7518400061218542,,
2025,control,always_up,48,24,0.5,0.5,1.0,,,,
2025,control,market4,48,26,0.5416666666666666,0.5,0.16666666666666666,0.24850597699017904,0.6900544656042241,,
2025,control,native_mse,48,23,0.4791666666666667,0.5,0.3958333333333333,,,0.06484639148936465,0.0860133321436872
2025,control,training_frequency,48,24,0.5,0.5,0.0,0.2512712831640581,0.6956962335312323,,
2025,control,training_mean_return,48,24,0.5,0.5,1.0,,,0.06254928116132617,0.08144414825820182
2025,rolling5_annual20,learned_market,48,23,0.4791666666666667,0.5,0.2708333333333333,0.28072418507099295,0.7598606210646146,,
2025,rolling5_annual20,learned_order_extension,48,21,0.4375,0.5,0.2708333333333333,0.2850994386349553,0.7709355586268244,,
2025,rolling5_annual20,learned_order_offset,48,21,0.4375,0.5,0.2708333333333333,0.28498331089175594,0.7706442259739834,,
2025,rolling5_annual20,learned_vol_interaction,48,21,0.4375,0.5,0.2708333333333333,0.2850875486735726,0.7701151415691309,,
2025,weekly_state_validated,learned_market,48,22,0.4583333333333333,0.5,0.25,0.28240758331323185,0.7632734037168646,,
2025,weekly_state_validated,learned_order_extension,48,21,0.4375,0.5,0.2708333333333333,0.2867806452694663,0.7743608371324701,,
2025,weekly_state_validated,learned_order_offset,48,21,0.4375,0.5,0.2708333333333333,0.28666104761745753,0.7740627895313491,,
2025,weekly_state_validated,learned_vol_interaction,48,21,0.4375,0.5,0.2708333333333333,0.2867735931590762,0.7735294913127523,,
2026,annual_head_timeweight2y,learned_market,32,17,0.53125,0.5,0.53125,0.25436334423846124,0.7038393989658573,,
2026,annual_head_timeweight2y,learned_order_extension,32,16,0.5,0.5,0.625,0.25918626954624824,0.7140344171624903,,
2026,annual_head_timeweight2y,learned_order_offset,32,18,0.5625,0.5,0.5,0.25890282011553073,0.7138410185197626,,
2026,annual_head_timeweight2y,learned_vol_interaction,32,19,0.59375,0.5,0.46875,0.2513686696828012,0.6971305942144292,,
2026,annual_head_weighted_intercept,learned_market,32,18,0.5625,0.5,0.5625,0.24825532316041743,0.6916916462147353,,
2026,annual_head_weighted_intercept,learned_order_extension,32,19,0.59375,0.5,0.59375,0.2507680726462921,0.6969892745418506,,
2026,annual_head_weighted_intercept,learned_order_offset,32,19,0.59375,0.5,0.59375,0.25057338283982356,0.6966123600096527,,
2026,annual_head_weighted_intercept,learned_vol_interaction,32,18,0.5625,0.5,0.5625,0.24663916975517003,0.6877908085433406,,
2026,annual_head_weighted_slopes,learned_market,32,18,0.5625,0.5,0.4375,0.25472880062525005,0.7042932223584587,,
2026,annual_head_weighted_slopes,learned_order_extension,32,19,0.59375,0.5,0.40625,0.2589533761751813,0.7131393198582301,,
2026,annual_head_weighted_slopes,learned_order_offset,32,18,0.5625,0.5,0.4375,0.2587610971204411,0.7130849822736645,,
2026,annual_head_weighted_slopes,learned_vol_interaction,32,18,0.5625,0.5,0.4375,0.2519809632191117,0.698133837929424,,
2026,control,always_up,32,16,0.5,0.5,1.0,,,,
2026,control,market4,32,19,0.59375,0.5,0.84375,0.249491179387565,0.692252337265487,,
2026,control,native_mse,32,20,0.625,0.5,0.4375,,,0.09182382967493109,0.13631899977545273
2026,control,training_frequency,32,16,0.5,0.5,0.0,0.2504297198364177,0.6940073597168426,,
2026,control,training_mean_return,32,16,0.5,0.5,1.0,,,0.09381114509581971,0.1385845226726031
2026,rolling5_annual20,learned_market,32,19,0.59375,0.5,0.53125,0.24863231521629495,0.6921754832068479,,
