cutoff,status,offsets_checked,gate_cells,maximum_offset_gap,training_n,validation_n,mode
2020-12-31,PASS,48,16,0.0,0,0,annual_reset
2021-03-31,PASS,48,16,0.0,0,10,insufficient_history
2021-06-30,PASS,48,16,0.0,9,13,insufficient_history
2021-09-30,PASS,48,16,0.0,22,13,insufficient_history
2021-12-31,PASS,48,16,0.0,34,13,annual_reset
2022-03-31,PASS,48,16,0.0,46,13,insufficient_history
2022-06-30,PASS,48,16,4.996003610813204e-16,52,13,ready
2022-09-30,PASS,48,16,9.853229343548264e-16,52,13,ready
2022-12-31,PASS,48,16,0.0,52,13,annual_reset
2023-03-31,PASS,48,16,8.604228440844963e-16,52,13,ready
2023-06-30,PASS,48,16,3.3306690738754696e-16,52,13,ready
2023-09-30,PASS,48,16,3.642919299551295e-17,52,13,ready
2023-12-31,PASS,48,16,0.0,52,13,annual_reset
2024-03-31,PASS,48,16,8.326672684688674e-17,52,13,ready
2024-06-30,PASS,48,16,4.440892098500626e-16,52,13,ready
2024-09-30,PASS,48,16,3.885780586188048e-16,52,13,ready
2024-12-31,PASS,48,16,0.0,52,13,annual_reset
2025-03-31,PASS,48,16,3.885780586188048e-16,52,13,ready
2025-06-30,PASS,48,16,3.8163916471489756e-17,52,13,ready
2025-09-30,PASS,48,16,1.1796119636642288e-16,52,13,ready
2025-12-31,PASS,48,16,0.0,52,13,annual_reset
2026-03-31,PASS,48,16,5.551115123125783e-17,52,13,ready
2026-06-30,PASS,48,16,5.551115123125783e-17,52,13,ready
