date,joint_completed,actual_up,method,seed,annual_logit,probability,state,encoder_cutoff,calibration_source
2026-08-28,2026-09-07,1,learned_market,20260910,-0.1545809711245781,0.46143152701109985,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_market,20260911,-0.4924369917286835,0.3793196429540489,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_market,20260912,-0.37255080228000775,0.4079248019014957,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_extension,20260910,-0.11974689581442866,0.47009899751147677,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_extension,20260911,-0.6640569078248941,0.33982887316194016,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_extension,20260912,-0.41967665994687225,0.3965941251584064,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_offset,20260910,-0.11638137059693199,0.47093745338544907,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_offset,20260911,-0.661140339760661,0.34048349658044813,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_order_offset,20260912,-0.4187654799895967,0.3968121976374995,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_vol_interaction,20260910,-0.1497620722937386,0.4626293037741673,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_vol_interaction,20260911,-0.47846946337775914,0.3826136042406543,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-08-28,2026-09-07,1,learned_vol_interaction,20260912,-0.35072844028785777,0.4132057873630797,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_market,20260910,-0.9680122843016041,0.2752768733468237,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_market,20260911,0.0640939670741407,0.5160180085967904,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_market,20260912,0.2891639643301021,0.5717914452489137,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_extension,20260910,-0.5243642331844486,0.3718322975881706,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_extension,20260911,0.2126535602753405,0.5529639477462215,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_extension,20260912,0.5793084881649226,0.6409082739536577,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_offset,20260910,-0.5200151179178518,0.3728486986187793,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_offset,20260911,0.21544032865618232,0.5536527203477827,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_order_offset,20260912,0.5788839697123217,0.6408105673713639,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_vol_interaction,20260910,-0.9715876442355137,0.27456416416610624,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_vol_interaction,20260911,0.048900632249342116,0.5122227225050631,negative_high,2025-12-31,calibration_only_replay_not_prospective
2026-09-04,2026-09-14,0,learned_vol_interaction,20260912,0.2903874641076622,0.5720909879130033,negative_high,2025-12-31,calibration_only_replay_not_prospective
