cutoff,history,method,state,parent_component,accepted,n,recoveries,regressions,brier_difference
2020-12-31,quarter_trend2_validated,learned_market,negative_low,negative,False,0,0,0,
2020-12-31,quarter_trend2_validated,learned_market,negative_high,negative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_market,nonnegative_low,nonnegative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_market,nonnegative_high,nonnegative,False,9,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,negative_low,low,False,0,0,0,
2020-12-31,quarter_volatility2_validated,learned_market,nonnegative_low,low,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,negative_high,high,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,nonnegative_high,high,False,9,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,negative_low,negative,False,0,0,0,
2020-12-31,quarter_trend2_validated,learned_vol_interaction,negative_high,negative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,nonnegative_low,nonnegative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,nonnegative_high,nonnegative,False,9,0,0,9.25185853854297e-18
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,negative_low,low,False,0,0,0,
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,nonnegative_low,low,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,negative_high,high,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,nonnegative_high,high,False,9,0,0,9.25185853854297e-18
2020-12-31,quarter_trend2_validated,learned_order_extension,negative_low,negative,False,0,0,0,
2020-12-31,quarter_trend2_validated,learned_order_extension,negative_high,negative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_extension,nonnegative_low,nonnegative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_extension,nonnegative_high,nonnegative,False,9,0,0,9.25185853854297e-18
2020-12-31,quarter_volatility2_validated,learned_order_extension,negative_low,low,False,0,0,0,
2020-12-31,quarter_volatility2_validated,learned_order_extension,nonnegative_low,low,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_extension,negative_high,high,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_extension,nonnegative_high,high,False,9,0,0,9.25185853854297e-18
2020-12-31,quarter_trend2_validated,learned_order_offset,negative_low,negative,False,0,0,0,
2020-12-31,quarter_trend2_validated,learned_order_offset,negative_high,negative,False,1,0,0,-8.326672684688674e-17
2020-12-31,quarter_trend2_validated,learned_order_offset,nonnegative_low,nonnegative,False,1,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_offset,nonnegative_high,nonnegative,False,9,0,0,-9.25185853854297e-18
2020-12-31,quarter_volatility2_validated,learned_order_offset,negative_low,low,False,0,0,0,
2020-12-31,quarter_volatility2_validated,learned_order_offset,nonnegative_low,low,False,1,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_offset,negative_high,high,False,1,0,0,-8.326672684688674e-17
2020-12-31,quarter_volatility2_validated,learned_order_offset,nonnegative_high,high,False,9,0,0,-9.25185853854297e-18
2021-03-31,quarter_trend2_validated,learned_market,negative_low,negative,False,2,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_market,negative_high,negative,False,7,0,0,-1.1895246692412391e-17
2021-03-31,quarter_trend2_validated,learned_market,nonnegative_low,nonnegative,False,3,0,0,1.850371707708594e-17
2021-03-31,quarter_trend2_validated,learned_market,nonnegative_high,nonnegative,False,1,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_market,negative_low,low,False,2,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_market,nonnegative_low,low,False,3,0,0,1.850371707708594e-17
2021-03-31,quarter_volatility2_validated,learned_market,negative_high,high,False,7,0,0,-1.1895246692412391e-17
2021-03-31,quarter_volatility2_validated,learned_market,nonnegative_high,high,False,1,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_vol_interaction,negative_low,negative,False,2,0,0,-8.326672684688674e-17
2021-03-31,quarter_trend2_validated,learned_vol_interaction,negative_high,negative,False,7,0,0,-2.3790493384824782e-17
2021-03-31,quarter_trend2_validated,learned_vol_interaction,nonnegative_low,nonnegative,False,3,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_vol_interaction,nonnegative_high,nonnegative,False,1,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,negative_low,low,False,2,0,0,-8.326672684688674e-17
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,nonnegative_low,low,False,3,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,negative_high,high,False,7,0,0,-2.3790493384824782e-17
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,nonnegative_high,high,False,1,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_extension,negative_low,negative,False,2,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_extension,negative_high,negative,False,7,0,0,1.586032892321652e-17
2021-03-31,quarter_trend2_validated,learned_order_extension,nonnegative_low,nonnegative,False,3,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_extension,nonnegative_high,nonnegative,False,1,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,negative_low,low,False,2,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,nonnegative_low,low,False,3,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,negative_high,high,False,7,0,0,1.586032892321652e-17
2021-03-31,quarter_volatility2_validated,learned_order_extension,nonnegative_high,high,False,1,0,0,0.0
2021-03-31,quarter_trend2_validated,learned_order_offset,negative_low,negative,False,2,0,0,-8.326672684688674e-17
2021-03-31,quarter_trend2_validated,learned_order_offset,negative_high,negative,False,7,0,0,-1.586032892321652e-17
2021-03-31,quarter_trend2_validated,learned_order_offset,nonnegative_low,nonnegative,False,3,0,0,-9.25185853854297e-18
