cutoff,fit_cutoff,mode,method,seed,family,component,training_n,training_up_n,fit_eligible,offset,status,objective,gradient
2020-12-31,,annual_reset,learned_market,20260910,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260910,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260910,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260910,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260911,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260911,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260911,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260911,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260912,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260912,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260912,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_market,20260912,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260910,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260910,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260910,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260910,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260911,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260911,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260911,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260911,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260912,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260912,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260912,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_vol_interaction,20260912,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260910,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260910,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260910,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260910,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260911,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260911,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260911,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260911,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260912,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260912,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260912,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_extension,20260912,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260910,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260910,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260910,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260910,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260911,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260911,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260911,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260911,volatility,high,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260912,trend,negative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260912,trend,nonnegative,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260912,volatility,low,0,0,False,0.0,annual_reset,,
2020-12-31,,annual_reset,learned_order_offset,20260912,volatility,high,0,0,False,0.0,annual_reset,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260910,trend,negative,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260910,trend,nonnegative,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260910,volatility,low,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260910,volatility,high,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260911,trend,negative,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260911,trend,nonnegative,0,0,False,0.0,insufficient_history,,
2021-03-31,2021-01-07,insufficient_history,learned_market,20260911,volatility,low,0,0,False,0.0,insufficient_history,,
