cutoff,history,method,family,component,accepted,training_n,validation_n,n,changed_probability_weeks,recoveries,regressions,brier_difference
2020-12-31,quarter_trend2_validated,learned_market,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,0,0,10,3,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,0,0,10,3,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,0,0,10,1,0,0,8.326672684688674e-18
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,0,0,10,1,0,0,8.326672684688674e-18
2020-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,0,0,10,1,0,0,8.326672684688674e-18
2020-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,0,0,10,1,0,0,8.326672684688674e-18
2020-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,0,1,1,0,0,-8.326672684688674e-17
2020-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,0,0,10,4,0,0,-8.326672684688674e-18
2020-12-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,0,0,1,0,0,0,0.0
2020-12-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,0,0,10,5,0,0,-1.6653345369377347e-17
2021-03-31,quarter_trend2_validated,learned_market,trend,negative,False,0,1,9,1,0,0,-9.25185853854297e-18
2021-03-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,0,9,4,2,0,0,1.3877787807814457e-17
2021-03-31,quarter_volatility2_validated,learned_market,volatility,low,False,0,1,5,2,0,0,1.1102230246251566e-17
2021-03-31,quarter_volatility2_validated,learned_market,volatility,high,False,0,9,8,1,0,0,-1.0408340855860843e-17
2021-03-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,1,9,2,0,0,-3.700743415417188e-17
2021-03-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,0,1,5,1,0,0,-3.3306690738754695e-17
2021-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,0,9,8,1,0,0,-2.0816681711721685e-17
2021-03-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,1,9,1,0,0,1.2335811384723961e-17
2021-03-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,0,9,4,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,0,1,5,0,0,0,0.0
2021-03-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,0,9,8,1,0,0,1.3877787807814457e-17
2021-03-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,1,9,2,0,0,-3.0839528461809905e-17
2021-03-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,0,9,4,1,0,0,-6.938893903907228e-18
2021-03-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,0,1,5,2,0,0,-3.8857805861880476e-17
2021-03-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,0,9,8,1,0,0,-1.3877787807814457e-17
2021-06-30,quarter_trend2_validated,learned_market,trend,negative,False,0,9,10,1,0,0,6.938893903907228e-18
2021-06-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_market,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_market,volatility,high,False,8,9,12,1,0,0,5.782411586589357e-18
2021-06-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,0,9,10,2,0,0,-2.2204460492503132e-17
2021-06-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,8,9,12,2,0,0,-1.850371707708594e-17
2021-06-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,0,9,10,2,0,0,0.0
2021-06-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,9,4,3,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,1,4,1,1,0,0,8.326672684688674e-17
2021-06-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,8,9,12,1,0,0,-6.938893903907228e-18
2021-06-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,0,9,10,1,0,0,-1.1102230246251566e-17
2021-06-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,9,4,3,1,0,0,-1.3877787807814457e-17
2021-06-30,quarter_volatility2_validated,learned_order_offset,volatility,low,False,1,4,1,0,0,0,0.0
2021-06-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,8,9,12,2,0,0,-1.2721305490496585e-17
2021-09-30,quarter_trend2_validated,learned_market,trend,negative,False,10,9,7,1,0,0,3.172065784643304e-17
2021-09-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,12,4,6,1,0,0,1.850371707708594e-17
2021-09-30,quarter_volatility2_validated,learned_market,volatility,low,False,4,1,13,2,0,0,2.5620531337503614e-17
2021-09-30,quarter_volatility2_validated,learned_market,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,10,9,7,2,0,0,7.93016446160826e-18
2021-09-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,12,4,6,0,0,0,0.0
2021-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,4,1,13,2,0,0,4.270088556250602e-18
2021-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,10,9,7,1,0,0,1.784287003861859e-17
2021-09-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,12,4,6,1,0,0,2.7755575615628914e-17
2021-09-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,4,1,13,2,0,0,2.241796492031566e-17
2021-09-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,18,12,0,0,0,0,
2021-09-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,10,9,7,1,0,0,-1.586032892321652e-17
