period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,quarter_trend2_validated,learned_market,rolling5_annual20,147,46,2,0,-0.0007949425821023071
extension_2021_2023,quarter_trend2_validated,learned_market,weekly_state_validated,147,46,0,0,-0.0002778587678798472
extension_2021_2023,quarter_trend2_validated,learned_order_extension,rolling5_annual20,147,45,1,0,-0.0008156980616867964
extension_2021_2023,quarter_trend2_validated,learned_order_extension,weekly_state_validated,147,45,0,0,-0.0002314714088702164
extension_2021_2023,quarter_trend2_validated,learned_order_offset,rolling5_annual20,147,48,1,0,-0.0008211409403689047
extension_2021_2023,quarter_trend2_validated,learned_order_offset,weekly_state_validated,147,48,0,0,-0.00022981601324736667
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,rolling5_annual20,147,47,1,1,-0.0008101316741912097
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,weekly_state_validated,147,47,0,1,-0.00025950992830271275
extension_2021_2023,quarter_volatility2_validated,learned_market,rolling5_annual20,147,40,3,0,-0.0015350152735044082
extension_2021_2023,quarter_volatility2_validated,learned_market,weekly_state_validated,147,40,1,0,-0.0010179314592819485
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,rolling5_annual20,147,40,2,0,-0.00154090268949963
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,weekly_state_validated,147,40,1,0,-0.0009566760366830499
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,rolling5_annual20,147,39,1,0,-0.0005504725465567424
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,weekly_state_validated,147,39,0,0,4.085238056479571e-05
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,rolling5_annual20,147,37,1,0,-0.0005138971150159243
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,weekly_state_validated,147,37,0,0,3.672463087257251e-05
recent_2024_2026,quarter_trend2_validated,learned_market,rolling5_annual20,125,16,0,1,0.0006729898619278489
recent_2024_2026,quarter_trend2_validated,learned_market,weekly_state_validated,125,20,0,0,0.0013478669953455153
recent_2024_2026,quarter_trend2_validated,learned_order_extension,rolling5_annual20,125,17,0,0,-3.3306690738754695e-18
