period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks
extension_2021_2023,quarter_trend2_validated,learned_market,147,62,24,46
extension_2021_2023,quarter_trend2_validated,learned_order_extension,147,62,24,45
extension_2021_2023,quarter_trend2_validated,learned_order_offset,147,62,24,48
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,147,62,24,47
extension_2021_2023,quarter_volatility2_validated,learned_market,147,62,18,40
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,147,62,18,40
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,147,62,14,39
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,147,62,14,37
recent_2024_2026,quarter_trend2_validated,learned_market,125,91,2,16
recent_2024_2026,quarter_trend2_validated,learned_order_extension,125,91,0,17
recent_2024_2026,quarter_trend2_validated,learned_order_offset,125,91,0,12
recent_2024_2026,quarter_trend2_validated,learned_vol_interaction,125,91,2,17
recent_2024_2026,quarter_volatility2_validated,learned_market,125,80,40,50
recent_2024_2026,quarter_volatility2_validated,learned_order_extension,125,80,34,48
recent_2024_2026,quarter_volatility2_validated,learned_order_offset,125,80,34,44
recent_2024_2026,quarter_volatility2_validated,learned_vol_interaction,125,80,42,52
pooled_2021_2026,quarter_trend2_validated,learned_market,272,153,26,62
pooled_2021_2026,quarter_trend2_validated,learned_order_extension,272,153,24,62
pooled_2021_2026,quarter_trend2_validated,learned_order_offset,272,153,24,60
pooled_2021_2026,quarter_trend2_validated,learned_vol_interaction,272,153,26,64
pooled_2021_2026,quarter_volatility2_validated,learned_market,272,142,58,90
pooled_2021_2026,quarter_volatility2_validated,learned_order_extension,272,142,52,88
pooled_2021_2026,quarter_volatility2_validated,learned_order_offset,272,142,48,83
pooled_2021_2026,quarter_volatility2_validated,learned_vol_interaction,272,142,56,89
year_2021,quarter_trend2_validated,learned_market,50,0,0,9
year_2021,quarter_trend2_validated,learned_order_extension,50,0,0,6
year_2021,quarter_trend2_validated,learned_order_offset,50,0,0,11
year_2021,quarter_trend2_validated,learned_vol_interaction,50,0,0,7
year_2021,quarter_volatility2_validated,learned_market,50,0,0,9
year_2021,quarter_volatility2_validated,learned_order_extension,50,0,0,6
year_2021,quarter_volatility2_validated,learned_order_offset,50,0,0,11
year_2021,quarter_volatility2_validated,learned_vol_interaction,50,0,0,7
year_2022,quarter_trend2_validated,learned_market,49,26,2,10
year_2022,quarter_trend2_validated,learned_order_extension,49,26,2,15
year_2022,quarter_trend2_validated,learned_order_offset,49,26,2,13
year_2022,quarter_trend2_validated,learned_vol_interaction,49,26,2,11
year_2022,quarter_volatility2_validated,learned_market,49,26,6,13
year_2022,quarter_volatility2_validated,learned_order_extension,49,26,6,17
year_2022,quarter_volatility2_validated,learned_order_offset,49,26,2,13
year_2022,quarter_volatility2_validated,learned_vol_interaction,49,26,2,11
year_2023,quarter_trend2_validated,learned_market,48,36,22,27
year_2023,quarter_trend2_validated,learned_order_extension,48,36,22,24
year_2023,quarter_trend2_validated,learned_order_offset,48,36,22,24
year_2023,quarter_trend2_validated,learned_vol_interaction,48,36,22,29
year_2023,quarter_volatility2_validated,learned_market,48,36,12,18
year_2023,quarter_volatility2_validated,learned_order_extension,48,36,12,17
year_2023,quarter_volatility2_validated,learned_order_offset,48,36,12,15
year_2023,quarter_volatility2_validated,learned_vol_interaction,48,36,12,19
year_2024,quarter_trend2_validated,learned_market,47,36,0,5
year_2024,quarter_trend2_validated,learned_order_extension,47,36,0,6
year_2024,quarter_trend2_validated,learned_order_offset,47,36,0,6
year_2024,quarter_trend2_validated,learned_vol_interaction,47,36,0,7
year_2024,quarter_volatility2_validated,learned_market,47,25,23,27
year_2024,quarter_volatility2_validated,learned_order_extension,47,25,25,30
year_2024,quarter_volatility2_validated,learned_order_offset,47,25,25,29
year_2024,quarter_volatility2_validated,learned_vol_interaction,47,25,25,27
year_2025,quarter_trend2_validated,learned_market,48,36,0,5
year_2025,quarter_trend2_validated,learned_order_extension,48,36,0,6
year_2025,quarter_trend2_validated,learned_order_offset,48,36,0,3
year_2025,quarter_trend2_validated,learned_vol_interaction,48,36,0,5
year_2025,quarter_volatility2_validated,learned_market,48,36,9,12
year_2025,quarter_volatility2_validated,learned_order_extension,48,36,9,13
year_2025,quarter_volatility2_validated,learned_order_offset,48,36,9,12
year_2025,quarter_volatility2_validated,learned_vol_interaction,48,36,9,14
year_2026,quarter_trend2_validated,learned_market,30,19,2,6
year_2026,quarter_trend2_validated,learned_order_extension,30,19,0,5
year_2026,quarter_trend2_validated,learned_order_offset,30,19,0,3
year_2026,quarter_trend2_validated,learned_vol_interaction,30,19,2,5
year_2026,quarter_volatility2_validated,learned_market,30,19,8,11
year_2026,quarter_volatility2_validated,learned_order_extension,30,19,0,5
year_2026,quarter_volatility2_validated,learned_order_offset,30,19,0,3
year_2026,quarter_volatility2_validated,learned_vol_interaction,30,19,8,11
